approach,dataset_type,model_name,outer_fold,window_years,train_start,train_end,train_target_end,train_rows,valid_start,valid_end,valid_rows,selection_metric,inner_score,features,params
reference,lag_1,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.5089242215347141,24,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
deduplicated,base,dummy,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5,9,{}
deduplicated,base,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5015333179030799,9,"{""model__C"": 0.1}"
deduplicated,base,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5028756128708378,9,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
deduplicated,base,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5040198039453792,9,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
deduplicated,hybrid,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5119691129786722,22,"{""model__C"": 0.1}"
deduplicated,hybrid,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5052808576130204,22,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
deduplicated,hybrid,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5094109357127644,22,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
deduplicated,lag_1,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5120002068360381,24,"{""model__C"": 0.1}"
deduplicated,lag_1,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5087898980388084,24,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
deduplicated,lag_1,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5020711526087924,24,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
deduplicated,base,dummy,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5,9,{}
deduplicated,base,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5033160632913615,9,"{""model__C"": 0.1}"
deduplicated,base,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5049663466787623,9,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
deduplicated,base,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5006621394050003,9,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
deduplicated,hybrid,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5137027877028488,22,"{""model__C"": 0.1}"
deduplicated,hybrid,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5120318812756698,22,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
deduplicated,hybrid,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5066589757020947,22,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
deduplicated,lag_1,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5137410401246714,24,"{""model__C"": 0.1}"
deduplicated,lag_1,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5105212421048287,24,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
deduplicated,lag_1,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5007482340567694,24,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
deduplicated,base,dummy,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.5,9,{}
deduplicated,base,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.5055561205658033,9,"{""model__C"": 10.0}"
deduplicated,base,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.510317251103037,9,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
deduplicated,base,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.51137966080714,9,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
