dataset_type,model_name,model_variant,scope,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,group
hybrid,logistic_regression,tuned_optimized_threshold,global,0.5379746835443038,0.5416666666666666,0.927013422818792,0.6837871287128713,0.5032676996973287,85,935,87,1105,
hybrid,logistic_regression,tuned_optimized_threshold,ticker,0.5207956600361664,0.5343511450381679,0.9302325581395349,0.6787878787878788,0.4598033011654274,8,244,21,280,AAPL
hybrid,logistic_regression,tuned_optimized_threshold,ticker,0.546112115732369,0.5524752475247525,0.9177631578947368,0.6897404202719407,0.5112687592475164,23,226,25,279,MSFT
hybrid,logistic_regression,tuned_optimized_threshold,ticker,0.566003616636528,0.565843621399177,0.9046052631578947,0.6962025316455697,0.5398700063411541,38,211,29,275,NVDA
hybrid,logistic_regression,tuned_optimized_threshold,ticker,0.5189873417721519,0.5161904761904762,0.9575971731448764,0.6707920792079208,0.5109409763120011,16,254,12,271,TSLA
