dataset_type,model_name,model_variant,scope,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,group
hybrid,xgboost,tuned_optimized_threshold,global,0.523508137432188,0.5362776025236593,0.8557046979865772,0.6593406593406593,0.5025574911172523,138,882,172,1020,
hybrid,xgboost,tuned_optimized_threshold,ticker,0.5352622061482821,0.5413533834586466,0.9568106312292359,0.6914765906362546,0.47310552127827876,8,244,13,288,AAPL
hybrid,xgboost,tuned_optimized_threshold,ticker,0.4755877034358047,0.5213414634146342,0.5625,0.5411392405063291,0.49084495878249845,92,157,133,171,MSFT
hybrid,xgboost,tuned_optimized_threshold,ticker,0.569620253164557,0.5637065637065637,0.9605263157894737,0.7104622871046229,0.525642041851617,23,226,12,292,NVDA
hybrid,xgboost,tuned_optimized_threshold,ticker,0.5135623869801085,0.5133587786259542,0.950530035335689,0.6666666666666666,0.5246106530558827,15,255,14,269,TSLA
