dataset_type,model_name,model_variant,scope,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,group
base,random_forest,tuned_fixed_0_5,global,0.5,0.5451680672268907,0.4354026845637584,0.4841417910447761,0.5124794380839583,587,433,673,519,
base,random_forest,tuned_fixed_0_5,ticker,0.5009041591320073,0.5307125307125307,0.717607973421927,0.6101694915254238,0.4844829404630069,61,191,85,216,AAPL
base,random_forest,tuned_fixed_0_5,ticker,0.4538878842676311,0.6666666666666666,0.013157894736842105,0.025806451612903226,0.5203049038258297,247,2,300,4,MSFT
base,random_forest,tuned_fixed_0_5,ticker,0.5099457504520796,0.5457063711911357,0.6480263157894737,0.5924812030075188,0.4973644578313253,85,164,107,197,NVDA
base,random_forest,tuned_fixed_0_5,ticker,0.5352622061482821,0.5730337078651685,0.36042402826855124,0.44251626898047725,0.5446472974741525,194,76,181,102,TSLA
