dataset_type,model_name,model_variant,scope,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,group
hybrid,random_forest,tuned_fixed_0_5,global,0.5063291139240507,0.5454545454545454,0.5033557046979866,0.5235602094240838,0.5046543953151731,520,500,592,600,
hybrid,random_forest,tuned_fixed_0_5,ticker,0.5298372513562387,0.5454545454545454,0.8172757475083057,0.6542553191489362,0.49766650846385063,47,205,55,246,AAPL
hybrid,random_forest,tuned_fixed_0_5,ticker,0.45750452079566006,0.7,0.023026315789473683,0.044585987261146494,0.4937777425491439,246,3,297,7,MSFT
hybrid,random_forest,tuned_fixed_0_5,ticker,0.5406871609403255,0.5714285714285714,0.6578947368421053,0.6116207951070336,0.5244662861974212,99,150,104,200,NVDA
hybrid,random_forest,tuned_fixed_0_5,ticker,0.4972875226039783,0.5086505190311419,0.519434628975265,0.513986013986014,0.5129302447323649,128,142,136,147,TSLA
