dataset_type,model_name,model_variant,scope,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,group
base,logistic_regression,tuned_fixed_0_5,global,0.4914104882459313,0.5471167369901547,0.3263422818791946,0.40882816605359956,0.5113230359257797,698,322,803,389,
base,logistic_regression,tuned_fixed_0_5,ticker,0.45750452079566006,0.5027027027027027,0.3089700996677741,0.38271604938271603,0.44258556135632543,160,92,208,93,AAPL
base,logistic_regression,tuned_fixed_0_5,ticker,0.4864376130198915,0.6282051282051282,0.1611842105263158,0.25654450261780104,0.5414024519129148,220,29,255,49,MSFT
base,logistic_regression,tuned_fixed_0_5,ticker,0.5207956600361664,0.5719557195571956,0.5098684210526315,0.5391304347826087,0.5255231452124287,133,116,149,155,NVDA
base,logistic_regression,tuned_fixed_0_5,ticker,0.5009041591320073,0.519774011299435,0.3250883392226148,0.4,0.5200759062949876,185,85,191,92,TSLA
