dataset_type,model_name,model_variant,scope,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,group
hybrid,hist_gradient_boosting,tuned_fixed_0_5,global,0.5144665461121157,0.5496632996632996,0.5478187919463087,0.5487394957983194,0.5087408705092775,485,535,539,653,
hybrid,hist_gradient_boosting,tuned_fixed_0_5,ticker,0.5063291139240507,0.5370370370370371,0.6744186046511628,0.5979381443298969,0.4824328956388757,77,175,98,203,AAPL
hybrid,hist_gradient_boosting,tuned_fixed_0_5,ticker,0.49547920433996384,0.5641025641025641,0.3618421052631579,0.4408817635270541,0.4977938068061721,164,85,194,110,MSFT
hybrid,hist_gradient_boosting,tuned_fixed_0_5,ticker,0.5262206148282098,0.57,0.5625,0.5662251655629139,0.5284427182413867,120,129,133,171,NVDA
hybrid,hist_gradient_boosting,tuned_fixed_0_5,ticker,0.5298372513562387,0.5365079365079365,0.5971731448763251,0.5652173913043478,0.5310954063604241,124,146,114,169,TSLA
