Date,Adj Close,Close,High,Low,Open,Volume,next_adj_close,target,daily_return,sma_5,sma_20,sma_50,RSI,MACD,MACD_signal,volatility_20
2015-01-02,14.620667457580566,14.620667457580566,14.883333206176758,14.21733283996582,14.857999801635742,71466000,14.005999565124512,0,0.0,14.620667457580566,14.620667457580566,14.620667457580566,50.0,0.0,0.0,0.0
2015-01-05,14.005999565124512,14.005999565124512,14.43333339691162,13.810667037963867,14.303333282470703,80527500,14.085332870483398,1,-0.0420410281705272,14.31333351135254,14.31333351135254,14.31333351135254,50.0,-0.049033336150341,-0.0098066672300682,0.029727496107434456
2015-01-06,14.085332870483398,14.085332870483398,14.279999732971191,13.61400032043457,14.003999710083008,93928500,14.063332557678224,0,0.0056642373141599,14.237333297729492,14.237333297729492,14.237333297729492,50.0,-0.0805624003859328,-0.0239578138612411,0.026061862267019797
2015-01-07,14.063332557678224,14.063332557678224,14.3186674118042,13.985333442687988,14.223333358764648,44526000,14.041333198547363,0,-0.0015619306272326,14.193833112716677,14.193833112716677,14.193833112716677,50.0,-0.1061015793653918,-0.0403865669620712,0.02192513484806824
2015-01-08,14.041333198547363,14.041333198547363,14.25333309173584,14.000666618347168,14.187333106994627,51637500,13.77733325958252,0,-0.0015643062581812,14.163333129882812,14.163333129882812,14.163333129882812,50.0,-0.126656707449591,-0.0576405950595752,0.019315282001476638
2015-01-09,13.77733325958252,13.77733325958252,13.998666763305664,13.663999557495115,13.928000450134276,70024500,13.480667114257812,0,-0.018801629106854,13.994666290283202,14.098999818166098,14.098999818166098,50.0,-0.1623775954392528,-0.0785879951355107,0.017840108766701543
2015-01-12,13.480667114257812,13.480667114257812,13.631333351135254,13.283332824707031,13.536666870117188,89254500,13.616666793823242,1,-0.0215329149506031,13.889599800109863,14.010666574750628,14.010666574750628,50.0,-0.2121792646258384,-0.1053062490335763,0.016886923737989102
2015-01-13,13.616666793823242,13.616666793823242,13.84066677093506,13.394000053405762,13.554667472839355,67159500,12.845999717712402,0,0.0100884977288393,13.795866584777832,13.961416602134705,13.961416602134705,50.0,-0.237930691805257,-0.1318311375879124,0.017383272412607752
2015-01-14,12.845999717712402,12.845999717712402,13.013333320617676,12.333333015441896,12.388667106628418,173278500,12.791333198547363,0,-0.0565973367623585,13.552400016784668,13.837481392754448,13.837481392754448,50.0,-0.316872565988227,-0.1688394232679753,0.02278406646374792
2015-01-15,12.791333198547363,12.791333198547363,13.050000190734863,12.666666984558104,12.965999603271484,78247500,12.871333122253418,1,-0.0042555285977208,13.302400016784668,13.73286657333374,13.73286657333374,50.0,-0.379471391267387,-0.2109658168678577,0.021702650066150048
2015-01-16,12.871333122253418,12.871333122253418,12.965999603271484,12.643333435058594,12.713333129882812,54048000,12.795332908630373,0,0.0062542287394358,13.121199989318848,13.654545350508256,13.654545350508256,50.0,-0.4178098343526581,-0.2523346203648178,0.02139667905520491
2015-01-20,12.795332908630373,12.795332908630373,12.941332817077637,12.469332695007324,12.924667358398438,67548000,13.104666709899902,1,-0.0059046108822751,12.98413314819336,13.5829443136851,13.5829443136851,50.0,-0.4491484055563148,-0.2916973774031172,0.020460396419047858
2015-01-21,13.104666709899902,13.104666709899902,13.245332717895508,12.633999824523926,12.636667251586914,62295000,13.441332817077637,1,0.0241755180172675,12.88173313140869,13.546153728778544,13.546153728778544,50.0,-0.4439067161638199,-0.3221392451552578,0.021866272889092056
2015-01-22,13.441332817077637,13.441332817077637,13.54933261871338,13.013333320617676,13.133333206176758,61753500,13.419333457946776,0,0.0256905509030154,13.000799751281738,13.538666520799907,13.538666520799907,50.0,-0.4078846579057895,-0.3392883277053642,0.022873572072386328
2015-01-23,13.419333457946776,13.419333457946776,13.56666660308838,13.222000122070312,13.352666854858398,51579000,13.770000457763672,1,-0.0016366947705446,13.126399803161622,13.530710983276368,13.530710983276368,15.136994359010371,-0.3767689240114382,-0.346784446966579,0.022066996846312824
2015-01-26,13.770000457763672,13.770000457763672,13.907999992370604,13.403332710266112,13.45533275604248,48517500,13.732000350952148,0,0.0261314767172162,13.306133270263672,13.545666575431824,13.545666575431824,21.12939099471764,-0.3201234011856115,-0.3414522378103856,0.022735381435596277
