Date,Adj Close,Close,High,Low,Open,Volume,next_adj_close,target,daily_return,sma_5,sma_20,sma_50,RSI,MACD,MACD_signal
2015-01-02,0.4829851388931274,0.503250002861023,0.5070000290870667,0.4952499866485595,0.503250002861023,113680000,0.4748275279998779,0,0.0,0.4829851388931274,0.4829851388931274,0.4829851388931274,50.0,0.0,0.0
2015-01-05,0.4748275279998779,0.4947499930858612,0.5047500133514404,0.4925000071525574,0.503250002861023,197952000,0.4604316353797912,0,-0.0168899832237997,0.4789063334465026,0.4789063334465026,0.4789063334465026,50.0,-0.0006507495869258473,-0.00013014991738516946
2015-01-06,0.4604316353797912,0.4797500073909759,0.4959999918937683,0.4792500138282776,0.4954999983310699,197764000,0.4592318534851074,0,-0.0303181508467436,0.4727481007575988,0.4727481007575988,0.4727481007575988,50.0,-0.0023015704741604637,-0.0005644340287402283
2015-01-07,0.4592318534851074,0.4785000085830688,0.4875000119209289,0.4769999980926513,0.4832499921321869,321808000,0.4765070378780365,1,-0.0026057764117232,0.4693690389394759,0.4693690389394759,0.4693690389394759,50.0,-0.0036644290358243126,-0.0011844330301570452
2015-01-08,0.4765070378780365,0.4964999854564667,0.4995000064373016,0.4837499856948852,0.4839999973773956,283780000,0.4784264862537384,1,0.0376175656410324,0.4707966387271881,0.4707966387271881,0.4707966387271881,50.0,-0.003312358452668307,-0.0016100181146592976
2015-01-09,0.4784264862537384,0.4984999895095825,0.5022500157356262,0.4914999902248382,0.4982500076293945,209540000,0.4724283218383789,0,0.0040281637481147,0.4698849081993103,0.4720682799816131,0.4720682799816131,50.0,-0.0028456536130722077,-0.0018571452143418797
2015-01-12,0.4724283218383789,0.492249995470047,0.5,0.4877499938011169,0.4997499883174896,190732000,0.4717084169387817,0,-0.0125372749789155,0.4694050669670105,0.4721197145325796,0.4721197145325796,50.0,-0.0029260586224421625,-0.0020709278959619363
2015-01-13,0.4717084169387817,0.4914999902248382,0.5059999823570251,0.4880000054836273,0.4959999918937683,236720000,0.4736278057098388,1,-0.0015238394192707,0.4716604232788086,0.4720683023333549,0.4720683023333549,50.0,-0.0030131369138258757,-0.002259369699534724
2015-01-14,0.4736278057098388,0.4934999942779541,0.4950000047683716,0.4850000143051147,0.4862500131130218,155260000,0.470268964767456,0,0.0040690153114359,0.4745396137237548,0.4722415804862976,0.4722415804862976,50.0,-0.0028939092696254054,-0.0023862776135528604
2015-01-15,0.470268964767456,0.4900000095367431,0.5,0.4897499978542328,0.4970000088214874,188932000,0.4789063632488251,1,-0.0070917308947873,0.4732919991016387,0.4720443189144134,0.4720443189144134,50.0,-0.0030354600022552414,-0.0025161140912933365
2015-01-16,0.4789063632488251,0.4990000128746032,0.4995000064373016,0.4877499938011169,0.4892500042915344,181512000,0.4803461134433746,1,0.0183669328160751,0.4733879745006561,0.4726681411266327,0.4726681411266327,50.0,-0.002422746195947123,-0.002497440512224094
2015-01-20,0.4803461134433746,0.5005000233650208,0.5052499771118164,0.4942499995231628,0.5024999976158142,140308000,0.4870642125606537,1,0.0030063292222355,0.4749715328216553,0.4733079721530278,0.4733079721530278,50.0,-0.001800238255873332,-0.0023580000609539414
2015-01-21,0.4870642125606537,0.5074999928474426,0.5087500214576721,0.4942499995231628,0.4977500140666961,144780000,0.4954618513584137,1,0.0139859549796712,0.4780426919460296,0.474366144492076,0.474366144492076,50.0,-0.0007560860854242679,-0.0020376172658480066
2015-01-22,0.4954618513584137,0.5162500143051147,0.5177500247955322,0.503250002861023,0.5084999799728394,159712000,0.4969012439250946,1,0.0172413381669143,0.4824095010757446,0.4758729806968144,0.4758729806968144,50.0,0.0007404953321040741,-0.0014819947462575906
2015-01-23,0.4969012439250946,0.5177500247955322,0.518750011920929,0.512499988079071,0.5167499780654907,120416000,0.4947419464588165,0,0.00290515316716,0.4877359569072723,0.4772748649120331,0.4772748649120331,37.07874080282335,0.00201941527614663,-0.0007817127417767465
2015-01-26,0.4947419464588165,0.515500009059906,0.5180000066757202,0.5122500061988831,0.515500009059906,133240000,0.4709885716438293,0,-0.0043455263851254,0.4909030735492706,0.478366557508707,0.478366557508707,36.13609066166814,0.0028261531520763494,-6.0139563006127356e-05
2015-01-27,0.4709885716438293,0.4907500147819519,0.5080000162124634,0.4897499978542328,0.5074999928474426,357948000,0.4633108079433441,0,-0.0480116452324392,0.4890315651893616,0.4779325583401848,0.4779325583401848,27.771829565822717,0.0015311497573547994,0.000258118301066058
2015-01-28,0.4633108079433441,0.4827499985694885,0.4987500011920929,0.4824999868869781,0.496749997138977,272728000,0.4745875895023346,1,-0.0163013800391981,0.4842808842658996,0.4771202388736937,0.4771202388736937,25.701060974007348,-0.00011337422039858769,0.00018381979677312886
