Date,Adj Close,Close,High,Low,Open,Volume,next_adj_close,target,daily_return,sma_5,sma_20,sma_50,RSI
2015-01-02,24.192604064941406,27.332500457763672,27.86000061035156,26.83749961853028,27.84749984741211,212818400,23.511058807373047,0,0.0,24.192604064941406,24.192604064941406,24.192604064941406,50.0
2015-01-05,23.511058807373047,26.5625,27.162500381469727,26.352500915527344,27.07250022888184,257142000,23.51327133178711,1,-0.0281716369076621,23.851831436157227,23.851831436157227,23.851831436157227,50.0
2015-01-06,23.51327133178711,26.565000534057617,26.857500076293945,26.15749931335449,26.63500022888184,263188400,23.84298515319824,1,9.410569010048776e-05,23.738978068033852,23.738978068033852,23.738978068033852,50.0
2015-01-07,23.84298515319824,26.9375,27.049999237060547,26.674999237060547,26.799999237060547,160423600,24.759082794189453,1,0.0140224563719211,23.76497983932495,23.76497983932495,23.76497983932495,50.0
2015-01-08,24.759082794189453,27.97249984741211,28.037500381469727,27.174999237060547,27.3075008392334,237458000,24.785627365112305,1,0.0384221034029512,23.96380043029785,23.96380043029785,23.96380043029785,50.0
2015-01-09,24.785627365112305,28.002500534057617,28.3125,27.552499771118164,28.167499542236328,214798000,24.17490196228028,0,0.0010721144698091,24.08240509033203,24.10077158610026,24.10077158610026,50.0
2015-01-12,24.17490196228028,27.3125,28.15749931335449,27.200000762939453,28.14999961853028,198603200,24.389545440673828,1,-0.0246403043923619,24.21517372131348,24.11136163984026,24.11136163984026,50.0
2015-01-13,24.389545440673828,27.55500030517578,28.200000762939453,27.227500915527344,27.857500076293945,268367600,24.29660987854004,0,0.0088787734787281,24.39042854309082,24.146134614944454,24.146134614944454,50.0
2015-01-14,24.29660987854004,27.450000762939453,27.622499465942383,27.125,27.26000022888184,195826400,23.637187957763672,0,-0.0038104671675759,24.48115348815918,24.1628540886773,24.1628540886773,50.0
2015-01-15,23.637187957763672,26.70499992370605,27.51499938964844,26.665000915527344,27.5,240056000,23.45352935791016,0,-0.0271404909603788,24.256774520874025,24.110287475585935,24.110287475585935,50.0
2015-01-16,23.45352935791016,26.497499465942383,26.895000457763672,26.299999237060547,26.75749969482422,314053200,24.0576171875,1,-0.0077699005559241,23.990354919433592,24.050582192160867,24.050582192160867,50.0
2015-01-20,24.0576171875,27.18000030517578,27.24250030517578,26.625,26.959999084472656,199599600,24.24129295349121,1,0.0257567984916564,23.96689796447754,24.05116844177246,24.05116844177246,50.0
2015-01-21,24.24129295349121,27.387500762939453,27.76499938964844,27.0674991607666,27.237499237060547,194303600,24.871931076049805,1,0.0076348278617819,23.93724746704101,24.065793404212364,24.065793404212364,50.0
2015-01-22,24.871931076049805,28.100000381469727,28.11750030517578,27.43000030517578,27.565000534057617,215185600,25.000274658203125,1,0.0260150365646139,24.05231170654297,24.123374666486463,24.123374666486463,50.0
2015-01-23,25.000274658203125,28.2450008392334,28.4375,27.88249969482422,28.075000762939453,185859200,25.02682876586914,1,0.0051601776219503,24.32492904663086,24.181834665934243,24.181834665934243,31.007065778820206
2015-01-26,25.02682876586914,28.27499961853028,28.59000015258789,28.200000762939453,28.434999465942383,222460000,24.15056228637696,0,0.0010621526374832,24.639588928222658,24.234646797180176,24.234646797180176,31.29982003122194
2015-01-27,24.15056228637696,27.28499984741211,28.1200008392334,27.25749969482422,28.104999542236328,382274800,25.51585578918457,1,-0.0350130848654387,24.65817794799805,24.229700649485867,24.229700649485867,27.198425644047333
2015-01-28,25.51585578918457,28.82749938964844,29.530000686645508,28.82749938964844,29.40749931335449,585908400,26.310258865356445,1,0.056532576203319,24.91309051513672,24.301153712802464,24.301153712802464,40.32017509161497
2015-01-29,26.310258865356445,29.725000381469727,29.79750061035156,28.88999938964844,29.07999992370605,337745600,25.92523193359375,0,0.0311337030094283,25.200756072998047,24.406896089252676,24.406896089252676,46.376456617192524
2015-01-30,25.92523193359375,29.290000915527344,30.0,29.21249961853028,29.600000381469727,334982000,26.250513076782227,1,-0.0146340989548252,25.385747528076173,24.482812881469727,24.482812881469727,44.043558411416065
2015-02-02,26.250513076782227,29.65749931335449,29.792499542236328,29.020000457763672,29.512500762939453,250956400,26.254940032958984,1,0.0125468942388506,25.63048439025879,24.585708332061767,24.56698908124651,46.49242948170911
2015-02-03,26.254940032958984,29.662500381469727,29.772499084472656,29.40250015258789,29.625,207662800,26.456296920776367,1,0.0001686426533382,26.0513599395752,24.722902393341062,24.64371412450617,46.52672865120527
2015-02-04,26.456296920776367,29.88999938964844,30.127500534057617,29.57749938964844,29.625,280598800,26.645139694213867,1,0.0076692952855581,26.23944816589356,24.87005367279053,24.72252207217009,48.154616254178684
2015-02-05,26.645139694213867,29.98500061035156,30.0575008392334,29.8125,30.0049991607666,168984800,26.42075729370117,0,0.0071379140475702,26.30642433166504,25.01016139984131,24.80263113975525,49.701166860145705
2015-02-06,26.42075729370117,29.732500076293945,30.0625,29.612499237060547,30.0049991607666,174826400,26.596263885498047,1,-0.0084211380795059,26.40552940368652,25.093245124816896,24.867356185913085,47.8738028293661
2015-02-09,26.596263885498047,29.93000030517578,29.959999084472656,29.607500076293945,29.637500762939453,155559200,27.107215881347656,1,0.0066427540227516,26.47467956542969,25.183776950836183,24.93385263589712,49.43967977174681
2015-02-10,27.107215881347656,30.5049991607666,30.537500381469727,30.040000915527344,30.042499542236328,248034000,27.742576599121094,1,0.0192114199967843,26.645134735107423,25.33039264678955,25.01434757091381,53.79171852916026
2015-02-11,27.742576599121094,31.21999931335449,31.229999542236328,30.625,30.6924991607666,294247200,28.093578338623047,1,0.023438803916806,26.902390670776366,25.498044204711917,25.111784321921213,58.56754511057645
2015-02-12,28.093578338623047,31.614999771118164,31.8700008392334,31.39249992370605,31.51499938964844,297898000,28.23130989074707,1,0.0126520958948375,27.192078399658204,25.687892627716064,25.21460480525576,60.96763334472473
2015-02-13,28.23130989074707,31.770000457763672,31.81999969482422,31.412500381469727,31.81999969482422,217088800,28.39793586730957,1,0.0049025991087319,27.554188919067386,25.917598724365234,25.3151616414388,61.90028009421333
2015-02-17,28.39793586730957,31.957500457763672,32.220001220703125,31.729999542236328,31.872499465942383,252609600,28.595643997192383,1,0.0059021695134702,27.914523315429687,26.16481904983521,25.4146059713056,63.05053578601414
2015-02-18,28.595643997192383,32.18000030517578,32.19499969482422,31.862499237060547,31.90749931335449,179566800,28.53567123413086,0,0.006962059876697,28.212208938598632,26.391720390319826,25.514013409614563,64.42302253609094
2015-02-19,28.53567123413086,32.11249923706055,32.25749969482422,32.08250045776367,32.119998931884766,149449600,28.768922805786133,1,-0.0020972691878319,28.370827865600585,26.60643930435181,25.60557879823627,63.65066713406557
2015-02-20,28.768922805786133,32.375,32.375,32.01250076293945,32.154998779296875,195793600,29.546464920043945,1,0.0081740348681997,28.5058967590332,26.801288890838624,25.69861832787009,65.38866655356226
2015-02-23,29.546464920043945,33.25,33.25,32.415000915527344,32.505001068115234,283896400,29.362079620361328,0,0.027027154249287,28.768927764892577,27.028598403930665,25.8085568019322,70.45925788607643
2015-02-24,29.362079620361328,33.04249954223633,33.400001525878906,32.79249954223633,33.23500061035156,276912400,28.611194610595703,0,-0.0062405198111376,28.96175651550293,27.245360946655275,25.907265769110783,67.91820596121283
2015-02-25,28.611194610595703,32.1974983215332,32.900001525878906,32.037498474121094,32.88999938964844,298846800,28.973302841186523,1,-0.0255732911113325,28.964866638183597,27.46839256286621,25.98034492698876,58.64300153845478
2015-02-26,28.973302841186523,32.60499954223633,32.717498779296875,31.65250015258789,32.1974983215332,365150000,28.53788375854492,0,0.0126561730650953,29.052392959594727,27.64126491546631,26.059106977362383,61.38191119163955
2015-02-27,28.53788375854492,32.1150016784668,32.64250183105469,32.060001373291016,32.5,248059200,28.67784118652344,1,-0.0150282860407148,29.00618515014649,27.75264616012573,26.12266535636706,56.53361444852531
2015-03-02,28.67784118652344,32.272499084472656,32.56999969482422,32.07500076293945,32.3125,192386800,28.737829208374023,1,0.0049042679254944,28.832460403442383,27.890276622772216,26.186544752120973,57.69042081529715
2015-03-03,28.737829208374023,32.34000015258789,32.380001068115234,32.022499084472656,32.2400016784668,151265200,28.555662155151367,0,0.0020917900151693,28.70761032104492,28.01464242935181,26.248771202273485,58.20386885146302
2015-03-04,28.555662155151367,32.1349983215332,32.38999938964844,32.08000183105469,32.275001525878906,126665200,28.08247184753418,0,-0.0063389288001466,28.69650382995605,28.129678535461423,26.30369717734201,55.98210945381672
2015-03-05,28.08247184753418,31.602500915527344,32.1875,31.440000534057617,32.14500045776367,226068400,28.12467765808105,1,-0.0165708049439093,28.518337631225585,28.21098728179932,26.345064030137173,50.58099667605874
2015-03-06,28.12467765808105,31.64999961853028,32.342498779296875,31.565000534057617,32.099998474121094,291368400,28.244644165039062,1,0.0015029236306554,28.435696411132813,28.28496417999268,26.385509794408623,51.03477405019982
2015-03-09,28.244644165039062,31.78499984741211,32.39250183105469,31.26499938964844,31.989999771118164,354114000,27.66037940979004,0,0.0042655246903262,28.349057006835935,28.37615852355957,26.426823891533747,52.373434917020845
2015-03-10,27.66037940979004,31.127500534057617,31.80500030517578,30.950000762939453,31.602500915527344,275426400,27.156089782714844,0,-0.0206858600106643,28.13356704711914,28.42936429977417,26.453640315843664,45.80542128653405
2015-03-11,27.156089782714844,30.559999465942383,31.1924991607666,30.52750015258789,31.1875,275756000,27.647048950195312,1,-0.0182314790265207,27.85365257263184,28.43180799484253,26.46858604918135,41.02341811175283
2015-03-12,27.647048950195312,31.112499237060547,31.225000381469727,30.40749931335449,30.57749938964844,193450800,27.455995559692383,0,0.0180791554089267,27.766567993164063,28.42703161239624,26.49313735961914,46.84193337057581
2015-03-13,27.455995559692383,30.897499084472656,31.350000381469727,30.645000457763672,31.100000381469727,207309200,27.758129119873047,1,-0.0069104442520104,27.632831573486328,28.395152473449706,26.51278752696757,44.98213154727306
2015-03-16,27.758129119873047,31.237499237060547,31.237499237060547,30.717500686645508,30.96999931335449,143497200,28.22242927551269,1,0.011004283546149,27.535528564453124,28.371493434906007,26.53769435882568,48.466697843021365
2015-03-17,28.22242927551269,31.76000022888184,31.82999992370605,31.412500381469727,31.475000381469727,204092400,28.54011344909668,1,0.0167266372180405,27.647938537597657,28.36271810531616,26.61829086303711,53.355780155013335
2015-03-18,28.54011344909668,32.11750030517578,32.290000915527344,31.592500686645508,31.75,261083600,28.32461738586425,0,0.0112564432523754,27.924743270874025,28.35994157791138,26.71887195587158,56.40348289753188
2015-03-19,28.32461738586425,31.875,32.3125,31.850000381469727,32.1875,183238000,27.96917724609375,0,-0.0075506379334049,28.060256958007805,28.349388885498048,26.81509887695313,53.83392017685525
2015-03-20,27.96917724609375,31.475000381469727,32.099998474121094,31.290000915527344,32.0625,274780400,28.26019859313965,1,-0.0125488063943941,28.16289329528808,28.30940160751343,26.89762271881104,49.803717602328256
2015-03-23,28.26019859313965,31.802499771118164,31.96249961853028,31.6299991607666,31.780000686645508,150838800,28.144678115844727,0,0.0104050735738585,28.2633071899414,28.24508829116821,26.96764503479004,52.91202487243417
2015-03-24,28.144678115844727,31.67250061035156,32.0099983215332,31.63999938964844,31.8075008392334,131369200,27.40934181213379,0,-0.0040877447097262,28.24775695800781,28.184218215942384,27.03482604980469,51.54750810340271
2015-03-25,27.40934181213379,30.84499931335449,31.70499992370605,30.84499931335449,31.63500022888184,206620800,27.600400924682617,1,-0.0261270106086934,28.021602630615234,28.12412557601929,27.09951484680176,43.80381476751157
2015-03-26,27.600400924682617,31.059999465942383,31.21999931335449,30.64999961853028,30.690000534057617,190291600,27.380464553833008,0,0.0069705837468978,27.876759338378907,28.05548048019409,27.16373195648193,46.070710779482035
2015-03-27,27.380464553833008,30.8125,31.174999237060547,30.727500915527344,31.14249992370605,158184800,28.073579788208008,1,-0.0079685933349222,27.75901679992676,27.99760951995849,27.225409049987796,43.87653667736887
2015-03-30,28.073579788208008,31.592500686645508,31.600000381469727,31.0,31.012500762939453,188398800,27.642608642578125,0,0.025314224782865,27.72169303894043,27.967396450042724,27.31413688659668,51.68586147172511
2015-03-31,27.642608642578125,31.107500076293945,31.622499465942383,31.09000015258789,31.522499084472656,168362400,27.60261344909668,0,-0.0153514852356273,27.621279144287108,27.91263542175293,27.39791847229004,47.28052814184921
2015-04-01,27.60261344909668,31.0625,31.280000686645508,30.77499961853028,31.20499992370605,162485600,27.840320587158203,1,-0.0014468675514163,27.65993347167969,27.864982986450197,27.46881839752197,46.88118166562796
