Date,Adj Close,Close,High,Low,Open,Volume,next_adj_close,target,daily_return,sma_5,sma_20,sma_50,RSI,MACD,MACD_signal,volatility_20
2015-01-02,170.12503051757812,205.42999267578125,206.8800048828125,204.17999267578125,206.3800048828125,121465900,167.05262756347656,0,0.0,170.12503051757812,170.12503051757812,170.12503051757812,50.0,0.0,0.0,0.0
2015-01-05,167.05262756347656,201.72000122070312,204.3699951171875,201.3500061035156,204.1699981689453,169632600,165.4791717529297,0,-0.018059676137922,168.58882904052734,168.58882904052734,168.58882904052734,50.0,-0.2450919735465788,-0.0490183947093157,0.012770119463157526
2015-01-06,165.4791717529297,199.82000732421875,202.72000122070312,198.8600006103516,202.08999633789065,209151400,167.54122924804688,1,-0.0094189228478253,167.55227661132812,167.55227661132812,167.55227661132812,50.0,-0.5598403710577884,-0.1511827899790103,0.00903263183537179
2015-01-07,167.54122924804688,202.3099975585937,202.72000122070312,200.8800048828125,201.4199981689453,125346700,170.51426696777344,1,0.0124611301426862,167.5495147705078,167.5495147705078,167.5495147705078,50.0,-0.6355635561519932,-0.2480589432136069,0.013086464784142425
2015-01-08,170.51426696777344,205.8999938964844,206.1600036621093,203.9900054931641,204.009994506836,147217800,169.14781188964844,0,0.017745111057559,168.14246520996093,168.14246520996093,168.14246520996093,50.0,-0.4504825462487076,-0.288543663820627,0.014862273835856324
2015-01-09,169.14781188964844,204.25,206.4199981689453,203.509994506836,206.3999938964844,158567300,167.8227996826172,0,-0.0080137287185667,167.947021484375,168.31002298990884,168.31002298990884,50.0,-0.4093473162746477,-0.3127043943114312,0.013744813350870534
2015-01-12,167.8227996826172,202.6499938964844,204.6000061035156,201.9199981689453,204.4100036621093,144396100,167.35072326660156,0,-0.0078334575672529,168.10105590820314,168.24041966029577,168.24041966029577,50.0,-0.4781529125393433,-0.3457940979570136,0.012819456089676119
2015-01-13,167.35072326660156,202.0800018310547,205.47999572753903,200.509994506836,204.1199951171875,214553300,166.34033203125,0,-0.0028129456599961,168.4753662109375,168.12920761108398,168.12920761108398,50.0,-0.5642699124569219,-0.3894892608569953,0.011873149665087578
2015-01-14,166.34033203125,200.8600006103516,201.1000061035156,198.57000732421875,199.6499938964844,192991100,164.81663513183594,0,-0.0060375671860224,168.2351867675781,167.9304436577691,167.9304436577691,50.0,-0.7059110803126316,-0.4527736247481225,0.011187901042800453
2015-01-15,164.81663513183594,199.0200042724609,202.009994506836,198.8800048828125,201.6300048828125,176613900,166.97808837890625,1,-0.0091601169770889,167.0956604003906,167.6190628051758,167.6190628051758,50.0,-0.9303874051635432,-0.5482963808312067,0.010759923054798975
2015-01-16,166.97808837890625,201.6300048828125,201.82000732421875,198.5500030517578,198.7700042724609,211879600,167.3341827392578,1,0.0131142905893046,166.66171569824218,167.56079240278763,167.56079240278763,50.0,-0.9232328433269856,-0.6232836733303625,0.011319762972440353
2015-01-20,167.3341827392578,202.0599975585937,202.72000122070312,200.1699981689453,202.3999938964844,130991100,168.1788787841797,1,0.0021325813692603,166.56399230957032,167.54190826416016,167.54190826416016,50.0,-0.878699857662582,-0.6743669101968064,0.010847712442421983
2015-01-21,168.1788787841797,203.0800018310547,203.6600036621093,200.94000244140625,201.5,122942700,170.6798553466797,1,0.0050479587081027,166.72962341308593,167.59090599646936,167.59090599646936,50.0,-0.7664125079583926,-0.6927760297491237,0.01053516156394018
2015-01-22,170.6798553466797,206.1000061035156,206.259994506836,202.3300018310547,203.9900054931641,174356000,169.74403381347656,0,0.0148709313593977,167.59752807617187,167.8115452357701,167.8115452357701,50.0,-0.4701959411478924,-0.6482600120288774,0.010957568490334796
2015-01-23,169.74403381347656,204.97000122070312,206.1000061035156,204.8099975585937,205.7899932861328,117516800,170.14157104492188,1,-0.0054829055913031,168.5830078125,167.94037780761718,167.94037780761718,25.35419450923212,-0.307411506082957,-0.5800903108396933,0.010663602589950421
2015-01-26,170.14157104492188,205.4499969482422,205.5599975585937,203.8500061035156,204.7100067138672,92009700,167.8973388671875,0,0.0023419805840254,169.21570434570313,168.07795238494873,168.07795238494873,26.45196953691726,-0.144658206516965,-0.4930038899751476,0.010320039980367715
2015-01-27,167.8973388671875,202.7400054931641,204.1199951171875,201.7400054931641,202.97000122070312,134044600,165.7441864013672,0,-0.0131903811863934,169.32833557128907,168.06732806037454,168.06732806037454,24.281020935921816,-0.1945234793655572,-0.4333078078532296,0.010496104466487473
2015-01-28,165.7441864013672,200.13999938964844,204.2899932861328,199.9100036621093,204.1699981689453,168514300,167.2761993408203,1,-0.0128242203262287,168.84139709472657,167.93826463487414,167.93826463487414,22.38299796354731,-0.4031363715560587,-0.4272735205937954,0.01057463392094749
2015-01-29,167.2761993408203,201.9900054931641,202.3000030517578,198.67999267578125,200.3800048828125,173585400,165.17276000976562,0,0.0092432378638198,168.1606658935547,167.90341909308182,167.90341909308182,26.76931435440104,-0.4397735156058502,-0.4297735195962064,0.010562553908531513
2015-01-30,165.17276000976562,199.4499969482422,202.1699981689453,199.1300048828125,200.57000732421875,197729700,167.2182159423828,1,-0.0125746480332745,167.2464111328125,167.76688613891602,167.76688613891602,24.704980888467105,-0.6312618968616732,-0.4700711950492998,0.010610646204776242
2015-02-02,167.2182159423828,201.9199981689453,202.02999877929688,197.8600006103516,200.0500030517578,163107000,169.6363983154297,1,0.0123837364738366,166.6617401123047,167.62154541015624,167.74075898670014,30.331309255805195,-0.6109242647951021,-0.4982418089984603,0.011050251075173009
2015-02-03,169.6363983154297,204.83999633789065,204.8500061035156,202.5500030517578,203.0,124212900,168.99046325683594,0,0.0144612377271151,167.00955200195312,167.7507339477539,167.8269244107333,36.38349489770285,-0.3951246855278327,-0.4776183843043348,0.010766422640455168
2015-02-04,168.99046325683594,204.0599975585937,205.3800048828125,203.509994506836,203.9199981689453,134306700,170.69639587402344,1,-0.0038077621607638,167.65880737304687,167.92629852294922,167.87751305621603,35.49645318799864,-0.2730756786903043,-0.4367098431815288,0.010556558823831769
