scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,approach,dataset_type,model_name,ticker
global,0.4376130198915009,0.475,0.31561461794019935,0.37924151696606784,0.4494739756367664,0.4325959650946042,-0.10474330916236554,0.4667642250698729,147,105,206,95,,0.4657047240168119,individual,lag_1,lightgbm,AAPL
global,0.4918625678119349,0.5664739884393064,0.3223684210526316,0.4109014675052411,0.5105818008877616,0.4820803044998383,0.022709689509830794,0.5075036990065525,174,75,206,98,,0.5349511164019961,individual,lag_1,lightgbm,MSFT
global,0.4810126582278481,0.5381165919282511,0.39473684210526316,0.45540796963946867,0.4905411118156838,0.47986287946567563,-0.01918656154811751,0.5158000422743606,146,103,184,120,,0.5453582509075354,individual,lag_1,lightgbm,NVDA
global,0.5099457504520796,0.5241935483870968,0.45936395759717313,0.4896421845574388,0.5111634602800681,0.5091689183656759,0.022440274592605624,0.5210181913362125,152,118,153,130,,0.5392802476519581,individual,lag_1,lightgbm,TSLA
global,0.5081374321880651,0.5397260273972603,0.654485049833887,0.5915915915915916,0.49390919158361013,0.4867048867048867,-0.0128074625951903,0.4536465749090334,84,168,104,197,,0.4514744787264755,individual,lag_1,logistic_regression,AAPL
global,0.4936708860759494,0.5392156862745098,0.5427631578947368,0.5409836065573771,0.48824904882688647,0.4882337387625595,-0.023519619576294157,0.49462322976114986,108,141,139,165,,0.5171885566877436,individual,lag_1,logistic_regression,MSFT
global,0.5045207956600362,0.5513698630136986,0.5296052631578947,0.540268456375839,0.501750422743606,0.5015067772075273,0.0034889739687824434,0.5067242654829847,118,131,143,161,,0.5414199347115868,individual,lag_1,logistic_regression,NVDA
global,0.5117540687160941,0.5173333333333333,0.6855123674911661,0.5896656534954408,0.5075709985603978,0.4934935410334347,0.0162006568825812,0.5323648737076299,89,181,89,194,,0.5334980403977115,individual,lag_1,logistic_regression,TSLA
global,0.46835443037974683,0.5108359133126935,0.5481727574750831,0.5288461538461539,0.46059431524547806,0.45944382381104376,-0.07963559208199154,0.4411353688762327,94,158,136,165,,0.4446707349356398,individual,lag_1,random_forest,AAPL
global,0.4629294755877034,0.518918918918919,0.3157894736842105,0.39263803680981596,0.47917987740435425,0.4556383052768691,-0.04390762737966489,0.5024175649968294,160,89,208,96,,0.5423583706727927,individual,lag_1,random_forest,MSFT
