approach,reference,dataset_type,model_name,ticker,roc_auc,reference_auc,auc_low,auc_high,auc_delta,delta_low,delta_high,block_sessions,replicates
raw_ticker,joint,base,hist_gradient_boosting,AAPL,0.4659732109898223,0.46189948847756157,0.4177811926557935,0.5198932779982565,0.004073722512260736,-0.013155787624201916,0.021474899330720703,20,1000
raw_ticker,joint,base,hist_gradient_boosting,MSFT,0.4909506446839992,0.4891209575142676,0.44338811616520246,0.5455361754319283,0.0018296871697315864,-0.013317309739350962,0.019757732643037238,20,1000
raw_ticker,joint,base,hist_gradient_boosting,NVDA,0.4768349714648066,0.4741928239272881,0.4333135680227958,0.5250325517935084,0.0026421475375184578,-0.0263913093256861,0.032124979470086544,20,1000
raw_ticker,joint,base,hist_gradient_boosting,TSLA,0.5331435675958645,0.5133097762073027,0.4859395926123896,0.5744317590455262,0.019833791388561783,0.004516077478422168,0.035341925368582154,20,1000
raw_ticker,joint,base,hist_gradient_boosting,macro,0.49172559868362314,0.484630761531605,0.4671711558711897,0.5201932991404487,0.007094837152018141,-0.0032149753120005037,0.017644751284751962,20,1000
raw_ticker,joint,base,lightgbm,AAPL,0.4886884986552761,0.47458208089437326,0.4385449649535872,0.5425636933412576,0.014106417760902823,-0.02061812283270922,0.04657658242039451,20,1000
raw_ticker,joint,base,lightgbm,MSFT,0.48868500317057706,0.4775285351934052,0.4378959782273943,0.538310872546221,0.011156467977171847,-0.006664398231730324,0.030529180001714784,20,1000
raw_ticker,joint,base,lightgbm,NVDA,0.4737370534770662,0.49208676812513213,0.4244124866516374,0.5271471517837502,-0.01834971464806595,-0.05536893542844661,0.016877814371690465,20,1000
raw_ticker,joint,base,lightgbm,TSLA,0.5226933647428347,0.5154757230728962,0.4739619196343542,0.5646794430097981,0.007217641669938435,-0.01791163052665871,0.028549915744391165,20,1000
raw_ticker,joint,base,lightgbm,macro,0.4934509800114385,0.4899182768214517,0.46833330646512633,0.5178822224907715,0.0035327031899867745,-0.01196937284500351,0.016833310287944707,20,1000
raw_ticker,joint,base,logistic_regression,AAPL,0.4510889627168697,0.44945420028476507,0.40135146013437567,0.5111748788900936,0.0016347624321046417,-0.013433486890475832,0.019478826391274007,20,1000
raw_ticker,joint,base,logistic_regression,MSFT,0.5001453181145635,0.5219562460367787,0.44956878198783423,0.5484264196318128,-0.021810927922215173,-0.04270473700467273,-0.000194326444460587,20,1000
raw_ticker,joint,base,logistic_regression,NVDA,0.5144525470302261,0.5180326569435637,0.4742326386605095,0.5665478344922624,-0.0035801099133375702,-0.018735768046949968,0.011066033176245153,20,1000
raw_ticker,joint,base,logistic_regression,TSLA,0.5266326397068447,0.5166993848972647,0.48664712009467403,0.574148872297319,0.009933254809579961,-0.005144197440035005,0.02515793750655338,20,1000
raw_ticker,joint,base,logistic_regression,macro,0.498079866892126,0.5015356220405931,0.4805275684308726,0.5234128902579763,-0.0034557551484670768,-0.011348528228996796,0.004924096103952636,20,1000
raw_ticker,joint,base,random_forest,AAPL,0.48202420503084953,0.5291620524178664,0.4335691095295588,0.5334527575794771,-0.047137847387016873,-0.09136112713149004,-0.005739329058338513,20,1000
raw_ticker,joint,base,random_forest,MSFT,0.4906467977171845,0.48888976960473474,0.4383760841288108,0.5442127394578071,0.0017570281124497655,-0.021570301380682423,0.024772305235755243,20,1000
raw_ticker,joint,base,random_forest,NVDA,0.48668357641090676,0.4874894314098499,0.43779318864595457,0.539100732083322,-0.0008058549989431452,-0.025150926724512468,0.032765428354302344,20,1000
raw_ticker,joint,base,random_forest,TSLA,0.523014003402696,0.5173144876325089,0.47496066507875395,0.5674806273255504,0.005699515770187125,-0.01539629425779424,0.029577758974371204,20,1000
raw_ticker,joint,base,random_forest,macro,0.4955921456404092,0.50571393526624,0.4724007443229546,0.5195218657510194,-0.010121789625830768,-0.02356314294872155,0.005973974450122643,20,1000
raw_ticker,joint,base,xgboost,AAPL,0.4694141222380425,0.4585970046933502,0.4084166512008819,0.5299902609704481,0.010817117544692334,-0.014219541130114848,0.03596776065077695,20,1000
raw_ticker,joint,base,xgboost,MSFT,0.5009313570069752,0.5048351299936589,0.44215779076685313,0.5586076558061768,-0.0039037729866836512,-0.024479601887449843,0.016403378225090085,20,1000
raw_ticker,joint,base,xgboost,NVDA,0.494325988163179,0.48994662861974214,0.44489632807351287,0.5496907534966873,0.004379359543436878,-0.013496239445966405,0.021716986694967286,20,1000
raw_ticker,joint,base,xgboost,TSLA,0.5143371286480827,0.513852898835231,0.4627606950002081,0.559614041677724,0.00048422981285167754,-0.01678751290067189,0.016390439779665835,20,1000
raw_ticker,joint,base,xgboost,macro,0.49475214901406983,0.4918079155354955,0.4709262954140012,0.5174987928081607,0.0029442334785743096,-0.008029570888275097,0.012086677362078637,20,1000
raw_ticker,joint,hybrid,hist_gradient_boosting,AAPL,0.4710093339661446,0.4707061119021252,0.42818185460986524,0.5200867772645078,0.0003032220640193928,-0.012477700727709517,0.011499547754235269,20,1000
raw_ticker,joint,hybrid,hist_gradient_boosting,MSFT,0.47783238216021984,0.4882556541957303,0.4287035485354481,0.5248019115159568,-0.010423272035510467,-0.03605481589323879,0.011356926445318239,20,1000
raw_ticker,joint,hybrid,hist_gradient_boosting,NVDA,0.4931568378778271,0.4836847389558233,0.45078151172426323,0.5424021860433914,0.009472098922003791,-0.010324109425633565,0.026175632652420417,20,1000
raw_ticker,joint,hybrid,hist_gradient_boosting,TSLA,0.5327247742442088,0.5418466169349562,0.4883577204137875,0.562099149992165,-0.00912184269074734,-0.0246401653009228,0.004293575961688303,20,1000
raw_ticker,joint,hybrid,hist_gradient_boosting,macro,0.4936808320621001,0.4961232804971587,0.4730951144413794,0.5128637905866607,-0.0024424484350585862,-0.013460738302556601,0.006133613279528757,20,1000
