model_name,accuracy_base,precision_base,recall_base,f1_base,roc_auc_base,accuracy_hybrid,precision_hybrid,recall_hybrid,f1_hybrid,roc_auc_hybrid,accuracy_delta,precision_delta,recall_delta,f1_delta,roc_auc_delta
dummy,0.538878842676311,0.538878842676311,1.0,0.700352526439483,0.5,0.538878842676311,0.538878842676311,1.0,0.700352526439483,0.5,0.0,0.0,0.0,0.0,0.0
hist_gradient_boosting,0.4855334538878842,0.5265225933202358,0.4496644295302013,0.4850678733031674,0.4930377352283195,0.505877034358047,0.5459610027855153,0.4932885906040268,0.5182899955927721,0.5054094288722201,0.02034358047016277,0.019438409465279527,0.043624161073825496,0.033222122289604694,0.012371693643900561
logistic_regression,0.5316455696202531,0.540082219938335,0.8817114093959731,0.6698534098151689,0.5114521647585208,0.5076853526220615,0.5356401384083045,0.6493288590604027,0.5870307167235495,0.5011292604290039,-0.02396021699819162,-0.004442081530030562,-0.23238255033557043,-0.08282269309161949,-0.010322904329516991
random_forest,0.509493670886076,0.5387962291515591,0.6233221476510067,0.5779852197588486,0.5124152849059087,0.5135623869801085,0.5488215488215489,0.5469798657718121,0.5478991596638656,0.5039816094222924,0.004068716094032476,0.010025319669989763,-0.07634228187919456,-0.030086060094983047,-0.008433675483616287
