ticker,year,removed_records
AAPL,2016,1
AAPL,2017,1
AAPL,2018,3
AAPL,2019,2
AAPL,2020,7
AAPL,2021,10
AAPL,2022,6
AAPL,2023,9
AAPL,2024,10
AAPL,2025,225
MSFT,2017,2
MSFT,2018,1
MSFT,2019,1
MSFT,2020,7
MSFT,2021,5
MSFT,2022,8
MSFT,2023,8
MSFT,2024,12
MSFT,2025,711
NVDA,2018,1
NVDA,2019,6
NVDA,2020,4
NVDA,2021,5
NVDA,2022,14
NVDA,2023,6
NVDA,2024,24
NVDA,2025,1957
TSLA,2016,1
TSLA,2018,1
TSLA,2020,1
TSLA,2021,7
TSLA,2022,4
TSLA,2023,2
TSLA,2024,8
TSLA,2025,210
