ticker,Date,Adj Close,Close,High,Low,Open,Volume,daily_return,sma_5,sma_20,sma_50,RSI,MACD,MACD_signal,volatility_20,sentiment_mean,sentiment_median,sentiment_min,sentiment_max,news_count,non_trading_news_count,positive_news_count,negative_news_count,neutral_news_count,positive_news_ratio,negative_news_ratio,neutral_news_ratio,has_news,target
AAPL,2015-01-02,24.192604064941406,27.332500457763672,27.86000061035156,26.83749961853028,27.84749984741211,212818400,0.0,24.192604064941406,24.192604064941406,24.192604064941406,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,False,0
AAPL,2015-01-05,23.511058807373047,26.5625,27.162500381469727,26.352500915527344,27.07250022888184,257142000,-0.0281716369076621,23.851831436157227,23.851831436157227,23.851831436157227,50.0,-0.0543682826550231,-0.0108736565310046,0.019920355494533,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,False,1
AAPL,2015-01-06,23.51327133178711,26.565000534057617,26.857500076293945,26.15749931335449,26.63500022888184,263188400,9.410569010048776e-05,23.73897806803385,23.73897806803385,23.73897806803385,50.0,-0.0961684362616281,-0.0279326124771293,0.0162921360710263,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,False,1
AAPL,2015-01-07,23.84298515319824,26.9375,27.049999237060547,26.674999237060547,26.799999237060547,160423600,0.0140224563719211,23.76497983932495,23.76497983932495,23.76497983932495,50.0,-0.1015199504988295,-0.0426500800814693,0.0177096299830661,0.301637,0.301637,0.301637,0.301637,1,0,1,0,0,1.0,0.0,0.0,True,1
AAPL,2015-01-08,24.759082794189453,27.97249984741211,28.037500381469727,27.174999237060547,27.3075008392334,237458000,0.0384221034029512,23.96380043029785,23.96380043029785,23.96380043029785,50.0,-0.031476795699632,-0.0404154232051019,0.0242269832955168,0.0209355,0.0209355,-0.083852,0.125723,2,0,0,0,2,0.0,0.0,1.0,True,1
AAPL,2015-01-09,24.785627365112305,28.002500534057617,28.3125,27.552499771118164,28.167499542236328,214798000,0.0010721144698091,24.08240509033203,24.10077158610026,24.10077158610026,50.0,0.0258765454354588,-0.0271570294769897,0.0217247710735536,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,False,0
AAPL,2015-01-12,24.17490196228028,27.3125,28.15749931335449,27.200000762939453,28.14999961853028,198603200,-0.0246403043923619,24.21517372131348,24.11136163984026,24.11136163984026,50.0,0.0217977743560062,-0.0173660687103905,0.022637506345381,0.200425,0.134817,0.120477,0.345981,3,3,1,0,2,0.3333333333333333,0.0,0.6666666666666666,True,1
AAPL,2015-01-13,24.389545440673828,27.55500030517578,28.200000762939453,27.227500915527344,27.857500076293945,268367600,0.0088787734787281,24.39042854309082,24.14613461494445,24.14613461494445,50.0,0.0354763049849111,-0.0067975939713302,0.0211861036699307,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,False,0
AAPL,2015-01-14,24.29660987854004,27.450000762939453,27.622499465942383,27.125,27.26000022888184,195826400,-0.0038104671675759,24.48115348815918,24.1628540886773,24.1628540886773,50.0,0.0383751510340921,0.0022369550297542,0.0198883093234543,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,False,0
AAPL,2015-01-15,23.637187957763672,26.70499992370605,27.51499938964844,26.665000915527344,27.5,240056000,-0.0271404909603788,24.256774520874025,24.11028747558593,24.11028747558593,50.0,-0.0123944550124903,-0.0006893269786946,0.0207083835078109,-0.340083,-0.340083,-0.340083,-0.340083,1,0,0,1,0,0.0,1.0,0.0,True,0
AAPL,2015-01-16,23.45352935791016,26.497499465942383,26.895000457763672,26.299999237060547,26.75749969482422,314053200,-0.0077699005559241,23.990354919433592,24.050582192160867,24.050582192160867,50.0,-0.0666807930143598,-0.0138876201858276,0.0197192253002581,0.329454,0.329454,0.329454,0.329454,1,0,1,0,0,1.0,0.0,0.0,True,1
AAPL,2015-01-20,24.0576171875,27.18000030517578,27.24250030517578,26.625,26.959999084472656,199599600,0.0257567984916564,23.96689796447754,24.05116844177246,24.05116844177246,50.0,-0.0602635866039378,-0.0231628134694497,0.0205109146422209,0.122122,0.122122,0.122122,0.122122,1,1,0,0,1,0.0,0.0,1.0,True,1
AAPL,2015-01-21,24.24129295349121,27.387500762939453,27.76499938964844,27.0674991607666,27.237499237060547,194303600,0.0076348278617819,23.93724746704101,24.065793404212364,24.065793404212364,50.0,-0.0398968984072567,-0.0265096304570111,0.0197598287346368,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,False,1
AAPL,2015-01-22,24.871931076049805,28.100000381469727,28.11750030517578,27.43000030517578,27.565000534057617,215185600,0.0260150365646139,24.05231170654297,24.123374666486463,24.123374666486463,50.0,0.026821888713421,-0.0158433266229246,0.0201871892986947,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,False,1
AAPL,2015-01-23,25.000274658203125,28.2450008392334,28.4375,27.88249969482422,28.075000762939453,185859200,0.0051601776219503,24.32492904663086,24.181834665934243,24.181834665934243,31.00706577882021,0.0890270146496732,0.0051307416315948,0.0194681895316055,0.114602,0.114602,0.114602,0.114602,1,0,0,0,1,0.0,0.0,1.0,True,1
AAPL,2015-01-26,25.02682876586914,28.27499961853028,28.59000015258789,28.200000762939453,28.434999465942383,222460000,0.0010621526374832,24.639588928222658,24.234646797180176,24.234646797180176,31.29982003122194,0.1388669479503015,0.0318779828953362,0.0188108920533482,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,False,0
AAPL,2015-01-27,24.15056228637696,27.28499984741211,28.1200008392334,27.25749969482422,28.104999542236328,382274800,-0.0350130848654387,24.65817794799805,24.229700649485867,24.229700649485867,27.198425644047333,0.1064311999163685,0.0467886262995426,0.0203365017067316,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,False,1
AAPL,2015-01-28,25.51585578918457,28.82749938964844,29.530000686645508,28.82749938964844,29.40749931335449,585908400,0.056532576203319,24.91309051513672,24.301153712802464,24.301153712802464,40.32017509161497,0.1887179878639919,0.0751744986124325,0.0237953069777193,0.235907,0.235907,0.235907,0.235907,1,0,1,0,0,1.0,0.0,0.0,True,1
AAPL,2015-01-29,26.310258865356445,29.725000381469727,29.79750061035156,28.88999938964844,29.07999992370605,337745600,0.0311337030094283,25.200756072998047,24.40689608925268,24.40689608925268,46.37645661719253,0.3144082467442004,0.1230212482387861,0.0239947004645825,-0.106812,-0.106812,-0.106812,-0.106812,1,0,0,0,1,0.0,0.0,1.0,True,0
AAPL,2015-01-30,25.92523193359375,29.290000915527344,30.0,29.21249961853028,29.600000381469727,334982000,-0.0146340989548252,25.385747528076173,24.482812881469727,24.482812881469727,44.04355841141607,0.378586121717781,0.1741342229345851,0.0237513663627501,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,False,1
AAPL,2015-02-02,26.250513076782227,29.65749931335449,29.792499542236328,29.020000457763672,29.512500762939453,250956400,0.0125468942388506,25.63048439025879,24.585708332061767,24.56698908124651,46.49242948170911,0.4505019141398279,0.2294077611756337,0.0238132737187912,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,False,1
AAPL,2015-02-03,26.254940032958984,29.662500381469727,29.772499084472656,29.40250015258789,29.625,207662800,0.0001686426533382,26.0513599395752,24.722902393341062,24.64371412450617,46.52672865120527,0.50206541850579,0.2839392926416649,0.0225873816473765,0.311833,0.311833,0.311833,0.311833,1,0,1,0,0,1.0,0.0,0.0,True,1
