dataset_type,model_name,model_variant,scope,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,group
lagged_hybrid,lightgbm,tuned_fixed_0_5,global,0.5122061482820977,0.5484978540772533,0.5360738255033557,0.5422146796775562,0.5216755494143966,494,526,553,639,
lagged_hybrid,lightgbm,tuned_fixed_0_5,ticker,0.49909584086799275,0.5319148936170213,0.6644518272425249,0.5908419497784343,0.4830591151189158,76,176,101,200,AAPL
lagged_hybrid,lightgbm,tuned_fixed_0_5,ticker,0.5352622061482821,0.6082949308755761,0.4342105263157895,0.5067178502879078,0.5681806172056647,164,85,172,132,MSFT
lagged_hybrid,lightgbm,tuned_fixed_0_5,ticker,0.5009041591320073,0.5534351145038168,0.4769736842105263,0.5123674911660777,0.5039500105685901,132,117,159,145,NVDA
lagged_hybrid,lightgbm,tuned_fixed_0_5,ticker,0.5135623869801085,0.5225806451612903,0.5724381625441696,0.5463743676222597,0.5278235833006151,122,148,121,162,TSLA
