dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end,ticker
base,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5120995031681758,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
base,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5066237008939591,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
base,xgboost,3,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5014319471755821,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
base,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5011273981006107,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
hybrid,logistic_regression,3,"{""model__C"": 10.0}",0.5125234762741171,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
hybrid,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5027157849326118,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
hybrid,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5009678090859147,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
hybrid,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.4949700232361047,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
hybrid,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5030761275090841,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
lag_1,logistic_regression,3,"{""model__C"": 10.0}",0.5155311843159961,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
lag_1,random_forest,3,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.4976942393321502,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
lag_1,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5032720638213127,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
lag_1,xgboost,3,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5026757742695169,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
lag_1,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5024016612773153,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,AAPL
base,dummy,1,{},0.5,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
base,logistic_regression,1,"{""model__C"": 10.0}",0.5219555504135592,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
base,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5292756949968983,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
base,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5372061164978166,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
base,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5362631843611394,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
base,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5388424424123482,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
hybrid,logistic_regression,1,"{""model__C"": 10.0}",0.5182379830644374,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
hybrid,random_forest,1,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5372203151907545,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
hybrid,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.532073574892852,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
hybrid,xgboost,1,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5295637779048129,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
hybrid,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5450890622732346,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
lag_1,logistic_regression,1,"{""model__C"": 10.0}",0.5210479668889648,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
lag_1,random_forest,1,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5384388919327839,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
lag_1,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.527292286960852,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
lag_1,xgboost,1,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5263839185823502,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
lag_1,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5338752107593201,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,MSFT
base,dummy,2,{},0.5,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
base,logistic_regression,2,"{""model__C"": 10.0}",0.5293930123801608,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
base,random_forest,2,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5261039717949042,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
base,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5316793632868397,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
base,xgboost,2,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5278028856864151,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
base,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5308501552871634,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
hybrid,logistic_regression,2,"{""model__C"": 10.0}",0.5213787078406825,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
hybrid,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5085196248931574,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
hybrid,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5216958511007792,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
hybrid,xgboost,2,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5168794624340604,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
hybrid,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5154512737911745,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
lag_1,logistic_regression,2,"{""model__C"": 10.0}",0.5239161258472452,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
lag_1,random_forest,2,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5054292718657631,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
lag_1,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5225724251214554,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
lag_1,xgboost,2,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5139418657398797,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
lag_1,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5293508682087181,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,MSFT
base,dummy,3,{},0.5,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
base,logistic_regression,3,"{""model__C"": 10.0}",0.5132129992805923,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
base,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5363727008627058,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
base,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5346176519254362,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
base,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5227164240436175,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
base,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.530572995441346,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
hybrid,logistic_regression,3,"{""model__C"": 10.0}",0.51289519126995,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
hybrid,random_forest,3,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5272902613057333,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
hybrid,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5330221536551991,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
hybrid,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5186725127114187,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
hybrid,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5397989919854539,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
lag_1,logistic_regression,3,"{""model__C"": 10.0}",0.5132737385970736,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
lag_1,random_forest,3,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5353237419073958,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
lag_1,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5369096182117303,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
lag_1,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5135012974073576,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
lag_1,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5341816487871207,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,MSFT
base,dummy,1,{},0.5,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
base,logistic_regression,1,"{""model__C"": 10.0}",0.5144366044567442,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
base,random_forest,1,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5070501326191305,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
base,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.4999254551575422,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
base,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5027841319899692,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
base,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5104960619863429,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
hybrid,logistic_regression,1,"{""model__C"": 10.0}",0.5043693929456855,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
hybrid,random_forest,1,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5070207857955796,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
hybrid,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5026183581286064,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
hybrid,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5062672984772446,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
hybrid,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5175631510378418,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
lag_1,logistic_regression,1,"{""model__C"": 10.0}",0.4956545104754903,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
lag_1,random_forest,1,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.4973813915146576,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
lag_1,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.4941469404346304,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
lag_1,xgboost,1,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5025337419635517,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
lag_1,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5027238609790378,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,NVDA
base,dummy,2,{},0.5,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
base,logistic_regression,2,"{""model__C"": 0.1}",0.5149660783807563,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
base,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.508097550089853,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
base,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5089065048255546,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
base,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5058473982638857,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
