dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end
base,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5247949478163373,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
base,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5225154443389455,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,logistic_regression,3,"{""model__C"": 10.0}",0.5170759869740027,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5167717056927997,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5123570284544184,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5207373826616287,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5115950467356893,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,logistic_regression,3,"{""model__C"": 0.1}",0.5155428226339063,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5241504594241991,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5201377783437529,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5223900965673643,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5240625338306484,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
