dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end,approach
lag_1,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5074954750019451,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,raw_ticker
lag_1,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5086928410409428,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,raw_ticker
lag_1,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5090671923689479,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,raw_ticker
lag_1,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5125421916520159,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,raw_ticker
base,dummy,3,{},0.5,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
base,logistic_regression,3,"{""model__C"": 10.0}",0.5093063000239648,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
base,random_forest,3,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5102659143576925,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
base,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5104970457224193,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
base,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5122036491331856,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
base,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5102720533244618,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
hybrid,logistic_regression,3,"{""model__C"": 10.0}",0.5112383649205577,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
