approach,reference,dataset_type,model_name,ticker,roc_auc,reference_auc,auc_low,auc_high,auc_delta,delta_low,delta_high,block_sessions,replicates
add_news_sentiment_std,deduplicated,hybrid,hist_gradient_boosting,AAPL,0.4731121130622792,0.47247930179823866,0.4256053994720857,0.5190036866084977,0.0006328112640405226,-0.028412907823568426,0.018643235727904786,20,1000
add_news_sentiment_std,deduplicated,hybrid,hist_gradient_boosting,MSFT,0.5113083914605792,0.510145846544071,0.4666778586852522,0.5505615133455076,0.0011625449165081347,-0.02737945629763373,0.030273372939097945,20,1000
add_news_sentiment_std,deduplicated,hybrid,hist_gradient_boosting,NVDA,0.5496855844430353,0.5478228704290847,0.5066986666732837,0.6042763880511157,0.0018627140139505505,-0.02136727458114598,0.02949877655501494,20,1000
add_news_sentiment_std,deduplicated,hybrid,hist_gradient_boosting,TSLA,0.5222353095144615,0.528373249574663,0.47574175468420227,0.5659440280144932,-0.006137940060201519,-0.029300296313155814,0.011963401931425184,20,1000
add_news_sentiment_std,deduplicated,hybrid,hist_gradient_boosting,macro,0.5140853496200888,0.5147053170865143,0.4907972961603892,0.5391431144686802,-0.0006199674664255639,-0.014169550817398274,0.010693917564391916,20,1000
add_news_sentiment_std,deduplicated,hybrid,logistic_regression,AAPL,0.4733955597742973,0.4588804514053684,0.42284094337312966,0.5210845338032345,0.014515108368928942,-0.003968285740002735,0.03565422956923846,20,1000
add_news_sentiment_std,deduplicated,hybrid,logistic_regression,MSFT,0.5049143944197844,0.504861551469034,0.4587559745927963,0.5361362639765582,5.2842950750364714e-05,-0.01825482681957308,0.019085327298812262,20,1000
add_news_sentiment_std,deduplicated,hybrid,logistic_regression,NVDA,0.4973974846755443,0.5162888395688016,0.4596563209176146,0.5502237006018956,-0.018891354893257273,-0.03626007818571846,0.00427397964430954,20,1000
add_news_sentiment_std,deduplicated,hybrid,logistic_regression,TSLA,0.4936264886794922,0.510770841512891,0.44591674245253854,0.5388041621026467,-0.017144352833398768,-0.031240593005839506,0.001954120619566754,20,1000
add_news_sentiment_std,deduplicated,hybrid,logistic_regression,macro,0.49233348188727954,0.4977004209890237,0.46500987502180413,0.5195409721695151,-0.005366939101744128,-0.015110170775638048,0.008171791780799268,20,1000
add_news_sentiment_std,deduplicated,hybrid,random_forest,AAPL,0.47219585508622053,0.4506011707008385,0.4258117802548719,0.5166117798553592,0.021594684385382035,-0.00862266984715966,0.046701686832457505,20,1000
add_news_sentiment_std,deduplicated,hybrid,random_forest,MSFT,0.49928662016487,0.5167908476009301,0.457295620759742,0.5454258598804441,-0.01750422743606006,-0.047754394038635524,0.009352924546766976,20,1000
add_news_sentiment_std,deduplicated,hybrid,random_forest,NVDA,0.593135700697527,0.542208306911858,0.5501480776037498,0.6402401453803244,0.05092739378566902,0.01851683329251297,0.07754775968047806,20,1000
add_news_sentiment_std,deduplicated,hybrid,random_forest,TSLA,0.5017013479911007,0.5083235178641539,0.4462112799878674,0.5492984034725088,-0.006622169873053196,-0.02798997820386224,0.015582525631041238,20,1000
add_news_sentiment_std,deduplicated,hybrid,random_forest,macro,0.5165798809849296,0.5044809607694452,0.4922249748985829,0.5417221044461794,0.012098920215484421,-0.002238181565463056,0.023349389647336634,20,1000
add_news_sentiment_std,deduplicated,lag_1,hist_gradient_boosting,AAPL,0.47045562411010916,0.48371170173495753,0.4240890878709853,0.522438643242532,-0.013256077624848372,-0.043320310904940554,0.012662944589917671,20,1000
add_news_sentiment_std,deduplicated,lag_1,hist_gradient_boosting,MSFT,0.5058127245825407,0.5149611604311984,0.46030734258253514,0.5477689827176522,-0.009148435848657765,-0.040587267254995875,0.02462061896487003,20,1000
add_news_sentiment_std,deduplicated,lag_1,hist_gradient_boosting,NVDA,0.5433047981399282,0.552578735996618,0.5039093310677233,0.5841171864021474,-0.00927393785668984,-0.047230581344608155,0.021546026050918553,20,1000
