approach,dataset_type,model_name,roc_auc,accuracy,balanced_accuracy,f1_macro,mcc
add_news_abs_sentiment,hybrid,hist_gradient_boosting,0.5098639885051425,0.5113019891500904,0.49510738881317784,0.4768542376752829,-0.012760886391693647
add_news_abs_sentiment,hybrid,logistic_regression,0.49765615675498037,0.5022603978300181,0.49773417185542224,0.48471797698306573,-0.00629601221111609
add_news_abs_sentiment,hybrid,random_forest,0.5201924537149778,0.5203435804701627,0.5100563893628203,0.49767637840354373,0.018838791039959522
add_news_abs_sentiment,lag_1,hist_gradient_boosting,0.5152198742771661,0.5230560578661845,0.5062154432825265,0.486789850812573,0.012846619108993047
add_news_abs_sentiment,lag_1,logistic_regression,0.49883485266912875,0.4995479204339964,0.4948689030789506,0.48250444783026475,-0.012816572406991005
add_news_abs_sentiment,lag_1,random_forest,0.5024201427246138,0.5108499095840868,0.49911424990039316,0.4837680219837615,-0.003992209357080131
add_news_log_surprise_20,hybrid,hist_gradient_boosting,0.5197338123628938,0.5302893309222423,0.5152382296819371,0.49989423991227633,0.033949201396716824
add_news_log_surprise_20,hybrid,logistic_regression,0.4993045058928519,0.5099457504520796,0.5009882216203831,0.4890518229031731,0.0011044457431332775
add_news_log_surprise_20,hybrid,random_forest,0.5172993713876004,0.5230560578661845,0.5106149380075651,0.4947838997788382,0.019142617557400807
add_news_log_surprise_20,lag_1,hist_gradient_boosting,0.5137180351495764,0.5239602169981917,0.5069535533565286,0.4862704806043512,0.014276354758353982
add_news_log_surprise_20,lag_1,logistic_regression,0.49689533658832086,0.5081374321880652,0.49997003958695124,0.48762894022214065,-0.001220633527254586
add_news_log_surprise_20,lag_1,random_forest,0.508696459030506,0.523508137432188,0.5070168865998297,0.4830358055987498,0.011695379752915246
add_news_sentiment_std,hybrid,hist_gradient_boosting,0.5140853496200888,0.5207956600361664,0.5061263911132505,0.49179927599535167,0.012556760633410395
add_news_sentiment_std,hybrid,logistic_regression,0.49233348188727954,0.5031645569620253,0.4965265176573316,0.48253827814068123,-0.008567081495998403
