dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end
base,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5227164240436175,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
base,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.530572995441346,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,logistic_regression,3,"{""model__C"": 10.0}",0.51289519126995,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,random_forest,3,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5272902613057333,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5330221536551991,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5186725127114187,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5397989919854539,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,logistic_regression,3,"{""model__C"": 10.0}",0.5132737385970736,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,random_forest,3,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5353237419073958,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5369096182117303,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5135012974073576,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5341816487871207,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29
