model_name,group,accuracy_base,precision_base,recall_base,f1_base,roc_auc_base,accuracy_hybrid,precision_hybrid,recall_hybrid,f1_hybrid,roc_auc_hybrid,accuracy_delta,precision_delta,recall_delta,f1_delta,roc_auc_delta
dummy,AAPL,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.0,0.0,0.0,0.0,0.0
dummy,MSFT,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.0,0.0,0.0,0.0,0.0
dummy,NVDA,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.0,0.0,0.0,0.0,0.0
dummy,TSLA,0.5117540687160941,0.5117540687160941,1.0,0.6770334928229665,0.5,0.5117540687160941,0.5117540687160941,1.0,0.6770334928229665,0.5,0.0,0.0,0.0,0.0,0.0
hist_gradient_boosting,AAPL,0.5334538878842676,0.5538847117794486,0.7342192691029901,0.6314285714285715,0.5022543901281443,0.5135623869801085,0.5434782608695652,0.6644518272425249,0.5979073243647235,0.48109476348679,-0.019891500904159143,-0.010406450909883458,-0.06976744186046513,-0.03352124706384796,-0.021159626641354345
hist_gradient_boosting,MSFT,0.4394213381555154,0.425,0.0559210526315789,0.0988372093023255,0.4622040794757979,0.4792043399638336,0.5563380281690141,0.2598684210526316,0.3542600896860987,0.4904090044388078,0.03978300180831823,0.13133802816901413,0.20394736842105268,0.2554228803837732,0.028204924963009914
hist_gradient_boosting,NVDA,0.4792043399638336,0.5240963855421686,0.5723684210526315,0.5471698113207547,0.4808047981399281,0.5009041591320073,0.5503597122302158,0.5032894736842105,0.5257731958762887,0.5139241175227225,0.02169981916817365,0.026263326688047206,-0.06907894736842102,-0.021396615444466027,0.03311931938279439
hist_gradient_boosting,TSLA,0.4900542495479204,0.5020242914979757,0.4381625441696113,0.4679245283018868,0.5164376390524801,0.5298372513562387,0.5397923875432526,0.5512367491166078,0.5454545454545454,0.5405313440649129,0.03978300180831834,0.03776809604527698,0.11307420494699649,0.07753001715265861,0.024093705012432798
logistic_regression,AAPL,0.5352622061482821,0.5413533834586466,0.956810631229236,0.6914765906362546,0.4425460106523229,0.484629294755877,0.5196078431372549,0.7043189368770764,0.5980253878702397,0.4580762537573169,-0.05063291139240511,-0.021745540321391643,-0.2524916943521597,-0.09345120276601482,0.015530243104994013
logistic_regression,MSFT,0.5316455696202531,0.5447316103379721,0.9013157894736842,0.6790582403965304,0.5416402451912914,0.5262206148282098,0.5558510638297872,0.6875,0.6147058823529412,0.5102515324455718,-0.005424954792043302,0.01111945349181509,-0.21381578947368418,-0.06435235804358919,-0.03138871274571964
logistic_regression,NVDA,0.5515370705244123,0.5544747081712063,0.9375,0.6968215158924206,0.5258402029169309,0.5135623869801085,0.5609756097560976,0.5296052631578947,0.544839255499154,0.5359067850348763,-0.03797468354430378,0.006500901584891361,-0.4078947368421053,-0.15198226039326657,0.010066582117945422
logistic_regression,TSLA,0.5081374321880651,0.5138539042821159,0.7208480565371025,0.6,0.5202329538018584,0.5063291139240507,0.5133689839572193,0.6784452296819788,0.5844748858447488,0.5074204946996467,-0.0018083182640143969,-0.0004849203248965539,-0.04240282685512364,-0.015525114155251152,-0.012812459102211737
random_forest,AAPL,0.5497287522603979,0.5485074626865671,0.9767441860465116,0.7025089605734767,0.5186942994251964,0.5443037974683544,0.5524625267665952,0.8571428571428571,0.671875,0.490125507567368,-0.005424954792043413,0.003955064080028103,-0.11960132890365449,-0.03063396057347667,-0.0285687918578284
random_forest,MSFT,0.4520795660036166,0.5714285714285714,0.0131578947368421,0.0257234726688102,0.5026949904882689,0.4556962025316455,0.6666666666666666,0.0197368421052631,0.0383386581469648,0.4969218981187909,0.003616636528028905,0.09523809523809523,0.006578947368421002,0.0126151854781546,-0.005773092369478039
random_forest,NVDA,0.5443037974683544,0.5511811023622047,0.9210526315789472,0.6896551724137931,0.5066317903191715,0.5479204339963833,0.5685279187817259,0.7368421052631579,0.6418338108882522,0.5253117734094271,0.003616636528028905,0.017346816419521183,-0.18421052631578938,-0.04782136152554095,0.018679983090255647
random_forest,TSLA,0.4918625678119349,0.5030487804878049,0.5830388692579506,0.5400981996726678,0.5292893600314095,0.5063291139240507,0.5157232704402516,0.5795053003533569,0.5457570715474209,0.5196440256510928,0.014466546112115786,0.012674489952446688,-0.0035335689045936647,0.005658871874753113,-0.009645334380316672
