scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc,ticker,dataset_type,model_name,approach
global,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.3524590163934426,0.0,0.5,0,252,0,301,,0.5,0.0,AAPL,base,dummy,individual
global,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.3524590163934426,0.0,0.5,0,252,0,301,,0.5,0.0,AAPL,base,dummy,joint
global,0.42495479204339964,0.46473029045643155,0.37209302325581395,0.4132841328413284,0.43009413067552604,0.4247271728036429,-0.1404239988831598,0.4512405737488794,123,129,189,112,,0.451232524018256,0.023535668562585432,AAPL,base,hist_gradient_boosting,individual
global,0.5099457504520796,0.5315126050420168,0.840531561461794,0.6512226512226512,0.47780546327057954,0.41375722226786055,-0.06385733049602965,0.46189948847756157,29,223,48,253,,0.4684312645330097,0.0363568809634791,AAPL,base,hist_gradient_boosting,joint
global,0.46473779385171793,0.5094339622641509,0.4485049833887043,0.47703180212014135,0.4663159837578442,0.46444182698599656,-0.06716116193038982,0.4632376206296472,122,130,166,135,,0.4587348760093157,0.030716076833399195,AAPL,base,lightgbm,individual
global,0.5226039783001808,0.5403050108932462,0.8239202657807309,0.6526315789473685,0.49330933923957176,0.4448128993002738,-0.017742395439241908,0.47458208089437326,41,211,53,248,,0.48310046050836525,0.05434716488783676,AAPL,base,lightgbm,joint
global,0.5207956600361664,0.5358565737051793,0.893687707641196,0.6699875466998755,0.48454226651901067,0.39770004397700043,-0.05321356832456631,0.427015767547329,19,233,32,269,,0.42410898883854947,0.052368131691947636,AAPL,base,logistic_regression,individual
global,0.5298372513562387,0.5386064030131826,0.9501661129568106,0.6875,0.4889719453672942,0.3692974452554745,-0.056202265447373355,0.44945420028476507,7,245,15,286,,0.44353777864010363,0.025107245437396872,AAPL,base,logistic_regression,joint
global,0.45750452079566006,0.5015105740181269,0.5514950166112956,0.5253164556962026,0.44836655592469543,0.44620253164556967,-0.1049189955632479,0.44128697990824234,87,165,135,166,,0.43600698913638447,0.0207828711568554,AAPL,base,random_forest,individual
global,0.5533453887884268,0.5503731343283582,0.9800664451827242,0.7048984468339307,0.5118586194167589,0.39334141672551554,0.06842909394315967,0.5291620524178664,11,241,6,295,,0.5325567533871162,0.06978177529930625,AAPL,base,random_forest,joint
global,0.484629294755877,0.525,0.5581395348837209,0.5410628019323671,0.4774824658545589,0.4767169679764928,-0.045423583616003196,0.46634235089384585,100,152,133,168,,0.46261608041816604,0.02604367413041837,AAPL,base,xgboost,individual
global,0.5406871609403255,0.5445920303605313,0.9534883720930233,0.6932367149758454,0.5005537098560354,0.389783825113822,0.0026055762459838883,0.4585970046933502,12,240,14,287,,0.454430116589692,0.04852888917235237,AAPL,base,xgboost,joint
global,0.46835443037974683,0.5117845117845118,0.5049833887043189,0.5083612040133779,0.4647932816537468,0.4648105232665315,-0.07033003806476541,0.47093023255813954,107,145,149,152,,0.4724901508550034,0.0334472276312348,AAPL,hybrid,hist_gradient_boosting,individual
global,0.49005424954792043,0.5230024213075061,0.717607973421927,0.6050420168067226,0.4679309708379476,0.44282713085234093,-0.07346158302829683,0.47070611190212513,55,197,85,216,,0.47585899432382767,0.03718852478037287,AAPL,hybrid,hist_gradient_boosting,joint
global,0.44665461121157324,0.4901185770750988,0.4119601328903654,0.44765342960288806,0.45002768549280175,0.44665280175796573,-0.09991302097153945,0.43551916890787323,123,129,177,124,,0.43517715458853257,0.008201639365079682,AAPL,hybrid,lightgbm,individual
global,0.5298372513562387,0.5486935866983373,0.7674418604651163,0.6398891966759003,0.5067368032484312,0.48140293167128345,0.015741255354282294,0.48727785687918573,62,190,70,231,,0.48995039132193785,0.044991536763514715,AAPL,hybrid,lightgbm,joint
global,0.5045207956600362,0.5358090185676393,0.6710963455149501,0.5958702064896755,0.48832595053525285,0.4778416453009125,-0.02496364706944988,0.4458287190845331,77,175,99,202,,0.4407825157223857,0.010436210156431428,AAPL,hybrid,logistic_regression,individual
global,0.5063291139240507,0.5355329949238579,0.7009966777408638,0.6071942446043166,0.48740310077519383,0.47148033398099043,-0.02772237894963381,0.468781310974002,69,183,90,211,,0.46601914324242727,0.02925148394096966,AAPL,hybrid,logistic_regression,joint
global,0.47739602169981915,0.5174418604651163,0.5913621262458472,0.5519379844961241,0.4663159837578442,0.4625199683868907,-0.06919664171947645,0.4413726731002479,86,166,123,178,,0.43851113886956083,0.02395212092459177,AAPL,hybrid,random_forest,individual
global,0.5244122965641953,0.5435779816513762,0.7873754152823921,0.6431478968792401,0.4988464377999262,0.4652053847539832,-0.0028133149560314345,0.49259083478352583,53,199,64,237,,0.49453960526341234,0.027993034586890706,AAPL,hybrid,random_forest,joint
global,0.4484629294755877,0.4937106918238994,0.521594684385382,0.5072697899838449,0.4413528977482466,0.44049321121368834,-0.1181714545615515,0.4507461899488477,91,161,144,157,,0.4525811178297245,0.01548617790719612,AAPL,hybrid,xgboost,individual
global,0.5171790235081374,0.5410628019323671,0.7441860465116279,0.6265734265734266,0.49510889627168697,0.4718544882227747,-0.011230854902711883,0.4801785055107314,62,190,77,224,,0.4751784275280054,0.025885867082960708,AAPL,hybrid,xgboost,joint
global,0.47377938517179025,0.5219298245614035,0.3953488372093023,0.4499054820415879,0.4814045773348099,0.4727863632045028,-0.037627941831002154,0.47021172810209355,143,109,182,119,,0.4663767301358883,0.011092210509250569,AAPL,lag_1,hist_gradient_boosting,individual
global,0.4936708860759494,0.5267175572519084,0.6877076411960132,0.5965417867435159,0.47480620155038755,0.45846506812903953,-0.05534149639954678,0.4851223435110479,66,186,94,207,,0.4843248287656821,0.023053437502709904,AAPL,lag_1,hist_gradient_boosting,joint
global,0.4376130198915009,0.475,0.31561461794019935,0.37924151696606784,0.4494739756367664,0.4325959650946042,-0.10474330916236554,0.4667642250698729,147,105,206,95,,0.4657047240168119,0.007288853607621836,AAPL,lag_1,lightgbm,individual
global,0.5027124773960217,0.5315533980582524,0.7275747508305648,0.6143057503506312,0.4808508674787745,0.4572801016384199,-0.0437627348299148,0.4825119970468808,59,193,82,219,,0.4776143673954582,0.02052296698263003,AAPL,lag_1,lightgbm,joint
global,0.5081374321880651,0.5397260273972603,0.654485049833887,0.5915915915915916,0.49390919158361013,0.4867048867048867,-0.0128074625951903,0.4536465749090334,84,168,104,197,,0.4514744787264755,0.010222441624081986,AAPL,lag_1,logistic_regression,individual
global,0.4972875226039783,0.5288220551378446,0.7009966777408638,0.6028571428571429,0.4774824658545589,0.459064039408867,-0.05003657050152592,0.4694009386700417,64,188,90,211,,0.46656114663488385,0.0239956225952607,AAPL,lag_1,logistic_regression,joint
global,0.46835443037974683,0.5108359133126935,0.5481727574750831,0.5288461538461539,0.46059431524547806,0.45944382381104376,-0.07963559208199154,0.4411353688762327,94,158,136,165,,0.4446707349356398,0.02196189770878143,AAPL,lag_1,random_forest,individual
global,0.515370705244123,0.5382830626450116,0.770764119601329,0.6338797814207651,0.49054078995939465,0.4586511206569066,-0.022722171449031894,0.49470020566366085,53,199,69,232,,0.49240159375982434,0.009118127110131234,AAPL,lag_1,random_forest,joint
global,0.47377938517179025,0.5171232876712328,0.5016611295681063,0.5092748735244519,0.47106866002214837,0.4710117057680739,-0.05772585621265337,0.463890207245689,111,141,150,151,,0.45779679770536125,0.01392139769826656,AAPL,lag_1,xgboost,individual
global,0.5316455696202531,0.546875,0.813953488372093,0.6542056074766355,0.5041989664082688,0.46435770569910206,0.01066405208589172,0.48832595053525285,49,203,56,245,,0.4802907160987884,0.02459975021530691,AAPL,lag_1,xgboost,joint
global,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,,0.5,0.0,MSFT,base,dummy,individual
global,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,,0.5,0.0,MSFT,base,dummy,joint
global,0.47739602169981915,0.543859649122807,0.3059210526315789,0.391578947368421,0.49633402029169305,0.46678788889815664,-0.007892721543914906,0.5141090678503487,171,78,211,93,,0.5415930532359421,0.05782956251184696,MSFT,base,hist_gradient_boosting,individual
global,0.46112115732368897,0.5230769230769231,0.2236842105263158,0.31336405529953915,0.48734411329528643,0.4349558371735791,-0.029697314588543397,0.48912095751426754,187,62,236,68,,0.512740209741799,0.0385993759087654,MSFT,base,hist_gradient_boosting,joint
global,0.5045207956600362,0.5833333333333334,0.34539473684210525,0.43388429752066116,0.5220949587824985,0.49668491403364246,0.046921186788689985,0.5097363136757557,174,75,199,105,,0.5293962131813256,0.08021568191820223,MSFT,base,lightgbm,individual
global,0.46473779385171793,0.5294117647058824,0.23684210526315788,0.32727272727272727,0.48990699640667934,0.4414141414141414,-0.02332112019198988,0.47752853519340516,185,64,232,72,,0.48192314506736444,0.03585394630411081,MSFT,base,lightgbm,joint
global,0.49909584086799275,0.5386819484240688,0.618421052631579,0.5758039816232772,0.4859173536250264,0.4821624764628527,-0.02904176038127061,0.49450433312196157,88,161,116,188,,0.5176105433473485,0.012344616156448366,MSFT,base,logistic_regression,individual
global,0.5262206148282098,0.541015625,0.9111842105263158,0.678921568627451,0.4837045550623547,0.387736646382691,-0.06188790412772057,0.5219562460367787,14,235,27,277,,0.5296743194958009,0.03221578729204282,MSFT,base,logistic_regression,joint
global,0.4719710669077758,0.53,0.34868421052631576,0.42063492063492064,0.48558708518283655,0.4677925433739387,-0.029848047720428515,0.5057863031071654,155,94,198,106,,0.5392195622031887,0.04528968029131335,MSFT,base,random_forest,individual
global,0.4665461121157324,0.5233160621761658,0.33223684210526316,0.40643863179074446,0.4813794652293384,0.4610189874881473,-0.03887126780922608,0.48888976960473474,157,92,203,101,,0.5047476386876151,0.05112026722097942,MSFT,base,random_forest,joint
global,0.4864376130198915,0.5454545454545454,0.39473684210526316,0.4580152671755725,0.49656520820122596,0.4850213792922536,-0.006982861385975627,0.49228492919044603,149,100,184,120,,0.5119291451493181,0.06986973272152948,MSFT,base,xgboost,individual
global,0.47739602169981915,0.5409836065573771,0.3256578947368421,0.406570841889117,0.4941542485732403,0.4698443870188719,-0.012361762584849053,0.5048351299936589,165,84,205,99,,0.5482085921688044,0.060214572626300436,MSFT,base,xgboost,joint
global,0.4972875226039783,0.5738636363636364,0.33223684210526316,0.42083333333333334,0.5155160114140773,0.48837193823216185,0.033145115933761196,0.5123388290002113,174,75,203,101,,0.5314649814629486,0.05778970594379433,MSFT,hybrid,hist_gradient_boosting,individual
global,0.47739602169981915,0.5409836065573771,0.3256578947368421,0.406570841889117,0.4941542485732403,0.4698443870188719,-0.012361762584849053,0.48825565419573025,165,84,205,99,,0.5040603317931822,0.05935520906424876,MSFT,hybrid,hist_gradient_boosting,joint
global,0.47739602169981915,0.5362318840579711,0.3651315789473684,0.4344422700587084,0.48979470513633483,0.4743639921722113,-0.020983058734529436,0.5028403086028324,153,96,193,111,,0.5294721654052301,0.07463624922556625,MSFT,hybrid,lightgbm,individual
global,0.4810126582278481,0.5521472392638037,0.29605263157894735,0.3854389721627409,0.5014399704079475,0.46814984601877263,0.0031426348519309555,0.4861683576410907,176,73,214,90,,0.49187992150680654,0.03263424658783874,MSFT,hybrid,lightgbm,joint
global,0.5027124773960217,0.546031746031746,0.5657894736842105,0.555735056542811,0.49574614246459525,0.49552666584840754,-0.008548809640325642,0.4938834284506447,106,143,132,172,,0.5157394372744019,0.04074820377736708,MSFT,hybrid,logistic_regression,individual
global,0.5226039783001808,0.5617283950617284,0.5986842105263158,0.5796178343949044,0.514201543014162,0.5136582895823895,0.028688758079867923,0.5038971676178398,107,142,122,182,,0.509997248505158,0.048313116898853994,MSFT,hybrid,logistic_regression,joint
global,0.46835443037974683,0.5255102040816326,0.33881578947368424,0.412,0.4826609067850349,0.4634257425742574,-0.036068717361048656,0.5068695835975481,156,93,201,103,,0.54586892834398,0.08134670211072594,MSFT,hybrid,random_forest,individual
global,0.45750452079566006,0.5119047619047619,0.28289473684210525,0.3644067796610169,0.4767887338829,0.44561032989359994,-0.05022041372505002,0.48523039526527156,167,82,218,86,,0.5124000454174907,0.04486436247799249,MSFT,hybrid,random_forest,joint
global,0.46473779385171793,0.5185185185185185,0.3684210526315789,0.4307692307692308,0.4753751849503276,0.4628248884221581,-0.050222417302681246,0.4948081800887762,145,104,192,112,,0.534707262520317,0.06541811623869352,MSFT,hybrid,xgboost,individual
global,0.47920433996383366,0.5449438202247191,0.3190789473684211,0.4024896265560166,0.49688887127457193,0.4704755825087775,-0.006626112524046161,0.5033555273726484,168,81,207,97,,0.5279485437520623,0.05039031870100755,MSFT,hybrid,xgboost,joint
global,0.4810126582278481,0.5508982035928144,0.3026315789473684,0.39065817409766457,0.50071337983513,0.46934483508032837,0.0015460922464882523,0.49960367786937226,174,75,212,92,,0.5169814968853998,0.06083659924982496,MSFT,lag_1,hist_gradient_boosting,individual
global,0.4701627486437613,0.5263157894736842,0.3618421052631579,0.42884990253411304,0.4821258719086874,0.46737604738847305,-0.0366808138179189,0.47566582117945466,150,99,194,110,,0.49444097292171657,0.050848574029598095,MSFT,lag_1,hist_gradient_boosting,joint
global,0.4918625678119349,0.5664739884393064,0.3223684210526316,0.4109014675052411,0.5105818008877616,0.4820803044998383,0.022709689509830794,0.5075036990065525,174,75,206,98,,0.5349511164019961,0.06905177769535183,MSFT,lag_1,lightgbm,individual
global,0.47377938517179025,0.5419354838709678,0.27631578947368424,0.3660130718954248,0.49558761361234416,0.45812245557676956,-0.009775356663119879,0.48030279010779964,178,71,220,84,,0.49710892692874514,0.03161824095052873,MSFT,lag_1,lightgbm,joint
