ticker,dataset_type,model_name,reference_approach,block_sessions,replicates,roc_auc,auc_low,auc_high,auc_delta,delta_low,delta_high
AAPL,base,hist_gradient_boosting,joint,20,1000,0.4512405737488794,0.3929690355155187,0.5023685754195855,-0.01065891472868219,-0.06077497496754216,0.0300632906480732
AAPL,base,lightgbm,joint,20,1000,0.4632376206296472,0.41710819321537845,0.5106465322648251,-0.011344460264726075,-0.06548703383988078,0.03577295962172362
AAPL,base,logistic_regression,joint,20,1000,0.427015767547329,0.37581573947175395,0.4866151655139534,-0.022438432737436065,-0.07109897257019564,0.02388111045155908
AAPL,base,random_forest,joint,20,1000,0.44128697990824234,0.3950770327419368,0.4890463400166185,-0.08787507250962406,-0.1377635583033564,-0.04112631287791461
AAPL,base,xgboost,joint,20,1000,0.46634235089384585,0.4182934476682584,0.506819507508517,0.007745346200495662,-0.05088495722623466,0.05684633307588383
AAPL,hybrid,hist_gradient_boosting,joint,20,1000,0.47093023255813954,0.4209273222640648,0.5170735653517757,0.00022412065601440379,-0.05981035926573774,0.04605676203165239
AAPL,hybrid,lightgbm,joint,20,1000,0.43551916890787323,0.387401945644279,0.48468696719505827,-0.0517586879713125,-0.10558116034615952,-0.00043445541186056143
AAPL,hybrid,logistic_regression,joint,20,1000,0.4458287190845331,0.4001824975307861,0.4926023577570798,-0.02295259188946891,-0.06384087070539507,0.01839017043456692
AAPL,hybrid,random_forest,joint,20,1000,0.4413726731002479,0.3876766784452296,0.4893477845252252,-0.05121816168327792,-0.10578040654673326,0.0015532048497831623
AAPL,hybrid,xgboost,joint,20,1000,0.4507461899488477,0.4056871275598514,0.49254939849778123,-0.029432315561883693,-0.0893158263433578,0.02094622481731467
AAPL,lag_1,hist_gradient_boosting,joint,20,1000,0.47021172810209355,0.41702587017939524,0.5205675460870952,-0.01491061540895433,-0.07648992013569586,0.03551294107840367
AAPL,lag_1,lightgbm,joint,20,1000,0.4667642250698729,0.421606834879593,0.5119112645058023,-0.015747771977007885,-0.05850891809963121,0.026562068846343573
AAPL,lag_1,logistic_regression,joint,20,1000,0.4536465749090334,0.4033873586955101,0.5037623354264948,-0.015754363761008305,-0.05694121330066984,0.02489355805162472
AAPL,lag_1,random_forest,joint,20,1000,0.4411353688762327,0.3922744728528181,0.48702251054833084,-0.05356483678742813,-0.10533902245376087,-0.009989100255004076
AAPL,lag_1,xgboost,joint,20,1000,0.463890207245689,0.4200751238055904,0.5047048169655829,-0.024435743289563827,-0.08068931604273046,0.020134839900066762
MSFT,base,hist_gradient_boosting,joint,20,1000,0.5141090678503487,0.4686879087121523,0.5689182954751001,0.02498811033608117,-0.017589905053858306,0.07102435781243607
MSFT,base,lightgbm,joint,20,1000,0.5097363136757557,0.4579043230315628,0.5688456190489121,0.03220777848235051,0.0016005520020712235,0.07062307072639315
MSFT,base,logistic_regression,joint,20,1000,0.49450433312196157,0.4506000801035988,0.5437685816386237,-0.027451912914817134,-0.0754830066846353,0.026198067750231778
