approach,dataset_type,model_name,roc_auc,mean_outer_auc,accuracy,balanced_accuracy,f1_macro,mcc
individual,base,dummy,0.5,0.5,0.538878842676311,0.5,0.3501068345168674,0.0
individual,base,hist_gradient_boosting,0.496529739004827,0.513341372619524,0.4706148282097649,0.4793886897097493,0.46701832905734797,-0.041600174212761604
individual,base,lightgbm,0.49720263247952856,0.5118839641465078,0.4886980108499096,0.4957577985125953,0.48438149476369974,-0.007969234652124011
individual,base,logistic_regression,0.48385266855636866,0.5014630983574229,0.509493670886076,0.493381317139489,0.4689033232270689,-0.019021275011403885
individual,base,random_forest,0.48844295512399427,0.5058947537635086,0.4810126582278481,0.48322098697883054,0.4770509084461152,-0.03422526629631097
individual,base,xgboost,0.49921728059853043,0.5148850689180041,0.494122965641953,0.4990382552320915,0.49012236509688156,-0.0017677223330039267
individual,hybrid,hist_gradient_boosting,0.4999558265619319,0.5120340869216946,0.4886980108499096,0.4935294101879875,0.4855728337260668,-0.012395812977482231
individual,hybrid,lightgbm,0.4929199267385231,0.5091052387687857,0.48553345388788427,0.4918504223479423,0.4845543069846542,-0.016385635721262944
individual,hybrid,logistic_regression,0.4933557242932799,0.5086019798195002,0.505877034358047,0.49806943880306775,0.4926457353412798,-0.004207815674719631
individual,hybrid,random_forest,0.4943758348556695,0.5197604916332741,0.48191681735985537,0.48580567236910666,0.4761798126382427,-0.02928542576657001
individual,hybrid,xgboost,0.5016000582969252,0.520351239086325,0.4864376130198915,0.49097361561328057,0.4828642558642633,-0.018041855540588115
individual,lag_1,hist_gradient_boosting,0.4960161651628544,0.5044281206305081,0.48462929475587707,0.49421755917476656,0.48108440923002793,-0.011507083629776118
individual,lag_1,lightgbm,0.5027715394217496,0.5213235847445754,0.48010849909584086,0.49044008715507,0.4759270168564485,-0.01969497665201166
individual,lag_1,logistic_regression,0.4968397359651994,0.5108952526308793,0.5045207956600362,0.49786991542862513,0.49248473592710207,-0.004159362830030203
individual,lag_1,random_forest,0.49108348677085667,0.5159577638981856,0.4805605786618445,0.4838267331714171,0.4764768963646581,-0.03311837130947342
individual,lag_1,xgboost,0.4977717328618696,0.5148232925376062,0.4783001808318264,0.48558746310119083,0.47442142104534346,-0.02876551748714759
joint,base,dummy,0.5,0.5,0.538878842676311,0.5,0.3501068345168674,0.0
joint,base,hist_gradient_boosting,0.48463076153160495,0.49517587545123654,0.5,0.4922818457768676,0.4578688916330347,-0.021883057647824194
joint,base,lightgbm,0.4899182768214517,0.5002027707997229,0.5045207956600362,0.4950177233089017,0.4578303271961427,-0.013564994880887069
joint,base,logistic_regression,0.5015356220405931,0.5020571265955773,0.5257685352622061,0.49261995054044433,0.407616060495876,-0.027813529793108145
joint,base,random_forest,0.50571393526624,0.5213659889026281,0.5140144665461122,0.4956671055969662,0.433628639791923,0.005212289415059616
joint,base,xgboost,0.4918079155354955,0.5078459511152559,0.5126582278481012,0.4960252873661637,0.4398812776155742,-0.010270302981537359
joint,hybrid,hist_gradient_boosting,0.4961232804971587,0.5084847436399893,0.49321880650994576,0.4891475308995044,0.4748560367273875,-0.024065852749605987
joint,hybrid,lightgbm,0.49380229511563195,0.4988043448465385,0.5040687160940326,0.5024608905271808,0.4876010399907862,0.005585024298430272
joint,hybrid,logistic_regression,0.49871041413622696,0.5026572751438574,0.509493670886076,0.503472242387351,0.49475636293079106,0.006523757300732758
joint,hybrid,random_forest,0.5053565831455948,0.516008832309473,0.5081374321880652,0.5048274147143096,0.48766004371895466,0.00882875730856161
joint,hybrid,xgboost,0.4988307138391357,0.5090926527842716,0.4959312839059674,0.49348108432431315,0.4791769800101169,-0.013847070714644376
joint,lag_1,hist_gradient_boosting,0.4934144486489135,0.5019155356369178,0.4873417721518987,0.48436592416916957,0.4742580370584017,-0.0328386669481522
joint,lag_1,lightgbm,0.4950076187148805,0.5017938628054106,0.49593128390596747,0.4954159993650793,0.47928273471620375,-0.010839727874477498
joint,lag_1,logistic_regression,0.49606387209905833,0.4991925730550417,0.5076853526220615,0.5015913838190117,0.49069290450944114,0.002406029879366582
joint,lag_1,random_forest,0.5090808312832613,0.5173346577226028,0.5113019891500904,0.5086872549955933,0.4914274596886329,0.016128059495809668
joint,lag_1,xgboost,0.4996035071897299,0.5094327381191,0.5009041591320073,0.4975504553916582,0.4778443066313019,-0.004565676003185925
