model_name,base_initial_accuracy,base_initial_f1,base_initial_roc_auc,hybrid_initial_accuracy,hybrid_initial_f1,hybrid_initial_roc_auc,hybrid_tuned_accuracy,hybrid_tuned_f1,hybrid_tuned_roc_auc,lagged_tuned_accuracy,lagged_tuned_f1,lagged_tuned_roc_auc
logistic_regression,0.5316455696202531,0.6698534098151689,0.5114521647585208,0.5076853526220615,0.5870307167235495,0.5011292604290039,0.5063291139240507,0.5780525502318392,0.5032676996973287,0.5063291139240507,0.532133676092545,0.5041551519936833
random_forest,0.509493670886076,0.5779852197588486,0.5124152849059087,0.5135623869801085,0.5478991596638656,0.5039816094222924,0.4778481012658228,0.3898573692551506,0.5009779247269377,0.5085895117540687,0.5364605543710022,0.5146680484274246
hist_gradient_boosting,0.4855334538878842,0.4850678733031674,0.4930377352283195,0.505877034358047,0.5182899955927721,0.5054094288722201,0.5144665461121157,0.5487394957983194,0.5087408705092775,0.4972875226039783,0.526001705029838,0.4957140742202921
xgboost,,,,,,,0.5013562386980108,0.5193899782135076,0.5025574911172523,0.4896021699819168,0.4818724185406149,0.4993337939202527
lightgbm,,,,,,,0.5045207956600362,0.5115864527629234,0.5118650480326359,0.5122061482820977,0.5422146796775562,0.5216755494143966
