dataset_type,model_name,params,fold,train_start,train_end,valid_start,valid_end,threshold,threshold_f1,optimized_accuracy,optimized_precision,optimized_recall,optimized_f1,optimized_roc_auc,optimized_tn,optimized_fp,optimized_fn,optimized_tp,fixed_0_5_accuracy,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_f1,fixed_0_5_roc_auc,fixed_0_5_tn,fixed_0_5_fp,fixed_0_5_fn,fixed_0_5_tp
hybrid,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.660377358490566,0.5271739130434783,0.5342105263157895,0.8645655877342419,0.660377358490566,0.49032222987422525,149,885,159,1015,0.4832427536231884,0.5188571428571429,0.38671209540034074,0.4431429965836994,0.49032222987422525,613,421,720,454
hybrid,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.325,0.7135766423357665,0.5557065217391305,0.5552021808268969,0.9983660130718954,0.7135766423357665,0.5205070341144589,5,979,2,1222,0.48867753623188404,0.564625850340136,0.33905228758169936,0.42368555385400714,0.5205070341144589,664,320,809,415
hybrid,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6449007068327163,0.5247747747747747,0.5252192982456141,0.8352223190932868,0.6449007068327163,0.5056344562702979,207,866,189,958,0.5013513513513513,0.5171232876712328,0.5265911072362686,0.5218142548596112,0.5056344562702979,509,564,543,604
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6764705882352942,0.5317028985507246,0.5346191889218596,0.9207836456558773,0.6764705882352942,0.4870905400373667,93,941,93,1081,0.48097826086956524,0.5220125786163522,0.282793867120954,0.36685082872928176,0.4870905400373667,730,304,842,332
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7134946079860099,0.5548007246376812,0.5545990031717263,1.0,0.7134946079860099,0.5212850045167118,1,983,0,1224,0.47644927536231885,0.569672131147541,0.22712418300653595,0.3247663551401869,0.5212850045167118,774,210,946,278
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6471371504660453,0.5225225225225225,0.5234248788368336,0.8474280732345248,0.6471371504660453,0.503630769030763,188,885,175,972,0.4972972972972973,0.5180442374854481,0.38796861377506536,0.4436689930209372,0.503630769030763,659,414,702,445
hybrid,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.35,0.6944690919846199,0.5321557971014492,0.5319438151336656,1.0,0.6944690919846199,0.4947088595916027,1,1033,0,1174,0.5027173913043478,0.5298273155416012,0.5749574105621805,0.5514705882352942,0.4947088595916027,435,599,499,675
hybrid,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.375,0.7132867132867133,0.5543478260869565,0.5543478260869565,1.0,0.7132867132867133,0.5302221159466496,0,984,0,1224,0.5443840579710145,0.5761173184357542,0.6740196078431373,0.6212349397590361,0.5302221159466496,377,607,399,825
hybrid,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6813186813186813,0.5166666666666667,0.5166666666666667,1.0,0.6813186813186813,0.5015035779548902,0,1073,0,1147,0.504054054054054,0.5193929173693086,0.5370531822144725,0.5280754393484783,0.5015035779548902,503,570,531,616
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.325,0.6944690919846199,0.5321557971014492,0.5319438151336656,1.0,0.6944690919846199,0.4947203925148034,1,1033,0,1174,0.4995471014492754,0.5365079365079365,0.43185689948892675,0.4785276073619632,0.4947203925148034,596,438,667,507
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.35,0.7132867132867133,0.5543478260869565,0.5543478260869565,1.0,0.7132867132867133,0.5277512088846379,0,984,0,1224,0.5045289855072463,0.5637254901960784,0.46977124183006536,0.5124777183600713,0.5277512088846379,539,445,649,575
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6792114695340502,0.5162162162162162,0.5165833711949114,0.99128160418483,0.6792114695340502,0.4962887909705695,9,1064,10,1137,0.4927927927927928,0.5131086142322098,0.3583260680034874,0.4219712525667351,0.4962887909705695,683,390,736,411
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 15}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6900269541778976,0.53125,0.5321016166281756,0.9812606473594548,0.6900269541778976,0.524268153644898,21,1013,22,1152,0.5185688405797102,0.5466778805719091,0.5536626916524702,0.5501481168006771,0.524268153644898,495,539,524,650
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 15}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7127442403032954,0.5538949275362319,0.5541950113378685,0.9983660130718954,0.7127442403032954,0.5281858593708486,1,983,2,1222,0.532608695652174,0.5775444264943457,0.5841503267973857,0.5808285946385053,0.5281858593708486,461,523,509,715
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 15}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.660436137071651,0.509009009009009,0.5138148327678138,0.9241499564080209,0.660436137071651,0.4831977905813699,70,1003,87,1060,0.4873873873873874,0.504,0.4943330427201395,0.49911971830985913,0.4831977905813699,515,558,580,567
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6824615384615385,0.532608695652174,0.5342003853564548,0.944633730834753,0.6824615384615385,0.5288483717160002,67,967,65,1109,0.5253623188405797,0.5544982698961938,0.5459965928449745,0.5502145922746781,0.5288483717160002,519,515,533,641
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.704653937947494,0.5516304347826086,0.5549812030075187,0.9648692810457516,0.704653937947494,0.5120535595674585,37,947,43,1181,0.5031702898550725,0.5617103984450923,0.4722222222222222,0.5130936529072347,0.5120535595674585,533,451,646,578
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.656111462951235,0.5108108108108108,0.5151665837891596,0.9032258064516129,0.656111462951235,0.4890613789690843,98,975,111,1036,0.4927927927927928,0.5095890410958904,0.4864864864864865,0.4977698483496878,0.4890613789690843,536,537,589,558
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 15}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6793869252424147,0.5357789855072463,0.536826495304004,0.9250425894378195,0.6793869252424147,0.527562038889017,97,937,88,1086,0.5267210144927537,0.5549872122762148,0.5545144804088586,0.5547507456327226,0.527562038889017,512,522,523,651
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 15}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7007211538461539,0.5489130434782609,0.5541825095057035,0.9526143790849673,0.7007211538461539,0.519338417955258,46,938,58,1166,0.5240036231884058,0.5714285714285714,0.565359477124183,0.5683778234086242,0.519338417955258,465,519,532,692
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 15}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6404457554900033,0.5058558558558559,0.5131302521008403,0.8517872711421098,0.6404457554900033,0.4878860612107764,146,927,170,977,0.4918918918918919,0.5088702147525677,0.47515257192676547,0.4914337240757439,0.4878860612107764,547,526,602,545
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6579476861167002,0.5380434782608695,0.5425884955752213,0.8356047700170358,0.6579476861167002,0.5296663854830154,207,827,193,981,0.5235507246376812,0.5548561151079137,0.5255536626916525,0.5398075240594926,0.5296663854830154,539,495,557,617
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.6830652790917692,0.5448369565217391,0.5562403697996918,0.8848039215686274,0.6830652790917692,0.5119883827514746,120,864,141,1083,0.5104166666666666,0.5682903533906399,0.4861111111111111,0.5239982386613826,0.5119883827514746,532,452,629,595
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6368226186469202,0.5139639639639639,0.518640350877193,0.8247602441150829,0.6368226186469202,0.5102382242748416,195,878,201,946,0.5108108108108108,0.5299901671583087,0.4699215344376635,0.49815157116451014,0.5102382242748416,595,478,608,539
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.686100030684259,0.5366847826086957,0.53621103117506,0.9522998296422487,0.686100030684259,0.5254733441193624,67,967,56,1118,0.5303442028985508,0.5574182732606874,0.5664395229982965,0.5618926911702578,0.5254733441193624,506,528,509,665
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7093537916789614,0.5538949275362319,0.5551963048498846,0.9820261437908496,0.7093537916789614,0.5260200794409905,21,963,22,1202,0.5271739130434783,0.5737704918032787,0.5718954248366013,0.5728314238952537,0.5260200794409905,464,520,524,700
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6542586750788644,0.5063063063063064,0.5126050420168067,0.9040976460331299,0.6542586750788644,0.4869991899123367,87,986,110,1037,0.49099099099099097,0.5075690115761353,0.4969485614646905,0.5022026431718062,0.4869991899123367,520,553,577,570
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.670535138620245,0.5371376811594203,0.5394190871369294,0.8858603066439523,0.670535138620245,0.524681691319663,146,888,134,1040,0.5194746376811594,0.5494313210848644,0.534923339011925,0.542080276219249,0.524681691319663,519,515,546,628
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.6914338348173166,0.5448369565217391,0.5538612887358584,0.9199346405228758,0.6914338348173166,0.5082550381263616,77,907,98,1126,0.5022644927536232,0.5598086124401914,0.47794117647058826,0.5156456588805641,0.5082550381263616,524,460,639,585
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6489809123261081,0.5112612612612613,0.5159465020576132,0.8744551002615518,0.6489809123261081,0.4934937041481851,132,941,144,1003,0.49324324324324326,0.5100548446069469,0.4864864864864865,0.4979919678714859,0.4934937041481851,537,536,589,558
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6660168940870695,0.5344202898550725,0.5383403361344538,0.873083475298126,0.6660168940870695,0.5228199480029919,155,879,149,1025,0.5262681159420289,0.5565371024734982,0.5366269165247018,0.546400693842151,0.5228199480029919,532,502,544,630
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.6731141199226306,0.5407608695652174,0.5559105431309904,0.8529411764705882,0.6731141199226306,0.5134588049311866,150,834,180,1044,0.5126811594202898,0.5708812260536399,0.4869281045751634,0.5255731922398589,0.5134588049311866,536,448,628,596
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.632183908045977,0.5099099099099099,0.5162893429044727,0.8151700087183958,0.632183908045977,0.4920526906367029,197,876,212,935,0.4981981981981982,0.5152073732718894,0.4873583260680035,0.5008960573476703,0.4920526906367029,547,526,588,559
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6373858046380886,0.532608695652174,0.5424641148325359,0.772572402044293,0.6373858046380886,0.5254778749106199,269,765,267,907,0.5285326086956522,0.559748427672956,0.530664395229983,0.5448185395714911,0.5254778749106199,544,490,551,623
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.6576910131268933,0.5394021739130435,0.5592444190040069,0.798202614379085,0.6576910131268933,0.504679446304267,214,770,247,977,0.5027173913043478,0.5707865168539326,0.4150326797385621,0.4806054872280038,0.504679446304267,602,382,716,508
hybrid,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.631578947368421,0.5238738738738739,0.5261324041811847,0.7898866608544028,0.631578947368421,0.5113716969833375,257,816,241,906,0.5027027027027027,0.5210166177908113,0.46469049694856146,0.4912442396313364,0.5113716969833375,583,490,614,533
