dataset_type,model_name,params,fold,train_start,train_end,valid_start,valid_end,threshold,threshold_f1,optimized_accuracy,optimized_precision,optimized_recall,optimized_f1,optimized_roc_auc,optimized_tn,optimized_fp,optimized_fn,optimized_tp,fixed_0_5_accuracy,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_f1,fixed_0_5_roc_auc,fixed_0_5_tn,fixed_0_5_fp,fixed_0_5_fn,fixed_0_5_tp
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 15}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6374288583863408,0.5121621621621621,0.5173913043478261,0.8299912816041848,0.6374288583863408,0.4886640541271814,185,888,195,952,0.4900900900900901,0.5064822817631807,0.5108979947689625,0.5086805555555556,0.4886640541271814,502,571,561,586
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6611240438975723,0.5384963768115942,0.5422804146208402,0.8466780238500852,0.6611240438975723,0.5172775546248669,195,839,180,994,0.5081521739130435,0.5388692579505301,0.5195911413969335,0.5290546400693842,0.5172775546248669,512,522,564,610
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.6871699285492389,0.5439311594202898,0.5543859649122806,0.9035947712418301,0.6871699285492389,0.515978698389925,95,889,118,1106,0.5167572463768116,0.5715587967183227,0.5122549019607843,0.5402843601895735,0.515978698389925,514,470,597,627
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.634376051126808,0.5103603603603604,0.5164293537787513,0.8221447253705318,0.634376051126808,0.4959170606736972,190,883,204,943,0.49864864864864866,0.5152329749103942,0.5013077593722755,0.5081749889527176,0.4959170606736972,532,541,572,575
base,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6843894899536321,0.5375905797101449,0.537117903930131,0.9429301533219762,0.6843894899536321,0.5215496788904669,80,954,67,1107,0.5203804347826086,0.5498699045967043,0.5400340715502555,0.5449076063601204,0.5215496788904669,515,519,540,634
base,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7137002341920374,0.5570652173913043,0.5561131386861314,0.9959150326797386,0.7137002341920374,0.5275917955257985,11,973,5,1219,0.5289855072463768,0.5712074303405573,0.6029411764705882,0.5866454689984102,0.5275917955257985,430,554,486,738
base,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6545570427023581,0.5117117117117117,0.5158211953792065,0.8953792502179599,0.6545570427023581,0.4912190397414219,109,964,120,1027,0.48963963963963963,0.5060240963855421,0.5126416739319966,0.509311390212213,0.4912190397414219,499,574,559,588
base,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6705653021442495,0.5407608695652174,0.542016806722689,0.879045996592845,0.6705653021442495,0.5179159843020439,162,872,142,1032,0.5063405797101449,0.5377019748653501,0.510221465076661,0.5236013986013986,0.5179159843020439,519,515,575,599
base,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7071428571428572,0.5543478260869565,0.5561797752808989,0.9705882352941176,0.7071428571428572,0.52007487446198,36,948,36,1188,0.5176630434782609,0.5704162976085031,0.5261437908496732,0.5473863153421165,0.52007487446198,499,485,580,644
base,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6482264887731858,0.513063063063063,0.5171339563862928,0.8683522231909329,0.6482264887731858,0.4995900810168916,143,930,151,996,0.4981981981981982,0.5148247978436657,0.4995640802092415,0.5070796460176992,0.4995900810168916,533,540,574,573
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6501526976586359,0.5330615942028986,0.5403271291596164,0.8160136286201022,0.6501526976586359,0.5153746222967651,219,815,216,958,0.5040760869565217,0.5398587285570131,0.4557069846678024,0.4942263279445728,0.5153746222967651,578,456,639,535
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.6731141199226306,0.5407608695652174,0.5559105431309904,0.8529411764705882,0.6731141199226306,0.5166122004357299,150,834,180,1044,0.5054347826086957,0.5686070686070686,0.44689542483660133,0.5004574565416285,0.5166122004357299,569,415,677,547
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6250871080139373,0.5153153153153153,0.5206035983749274,0.7820401046207498,0.6250871080139373,0.5003262288834847,247,826,250,897,0.5027027027027027,0.5191111111111111,0.5091543156059285,0.5140845070422535,0.5003262288834847,532,541,563,584
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6445993031358885,0.5380434782608695,0.5454009433962265,0.7879045996592845,0.6445993031358885,0.5112029992190563,263,771,249,925,0.5031702898550725,0.5335658238884046,0.5212947189097104,0.5273588970271434,0.5112029992190563,499,535,562,612
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.6655596147459316,0.5439311594202898,0.5607162842753217,0.8186274509803921,0.6655596147459316,0.5121411538870291,199,785,222,1002,0.511322463768116,0.5746652935118435,0.45588235294117646,0.5084282460136674,0.5121411538870291,571,413,666,558
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6253032928942808,0.513063063063063,0.5189873417721519,0.7863993025283348,0.6253032928942808,0.4984265448745501,237,836,245,902,0.4968468468468468,0.5135379061371841,0.4960767218831735,0.5046563192904656,0.4984265448745501,534,539,578,569
hybrid,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": null}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6922619047619047,0.5317028985507246,0.5320219579139982,0.9906303236797275,0.6922619047619047,0.49979570250330335,11,1023,11,1163,0.5009057971014492,0.525974025974026,0.620954003407155,0.56953125,0.49979570250330335,377,657,445,729
